time,rnti,h_id,slot,tbs,max_retx,type
2025-12-05 21:24:07.409349,0x4601,5,305.4,,4,DISCARD
2025-12-05 21:24:07.409351,0x4601,15,305.4,,4,DISCARD
2025-12-05 21:24:07.409351,0x4601,4,305.4,,4,DISCARD
2025-12-05 21:24:07.409351,0x4601,0,305.4,,4,DISCARD
2025-12-05 21:24:07.409351,0x4601,11,305.4,,4,DISCARD
2025-12-05 21:24:07.409352,0x4601,2,305.4,,4,DISCARD
2025-12-05 21:24:07.456389,0x4601,14,309.18,3521.0,4,DISCARD
2025-12-05 21:24:07.456392,0x4601,7,309.18,2817.0,4,DISCARD
2025-12-05 21:24:24.851348,0x4601,13,1.8,233.0,4,DISCARD
2025-12-05 21:24:24.871421,0x4601,5,3.8,225.0,4,DISCARD
2025-12-05 21:24:24.886391,0x4601,2,4.18,225.0,4,DISCARD
