# Radar_Char,prf=350,gain=60,cFreq=3407100000.0,PW=0.00025,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-02 03:53:17.927892,51,575,247,0,0,0,0,0,0,0,0,0,1usec,216usec,158.19
2025-06-02 03:53:18.927929,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,212.7
2025-06-02 03:53:19.928055,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,332.14
2025-06-02 03:53:20.928027,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,27usec,430.7
2025-06-02 03:53:21.928171,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,20usec,575.6
2025-06-02 03:53:22.928117,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,630.5
2025-06-02 03:53:23.928192,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,747.3
2025-06-02 03:53:24.928234,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,848.12
2025-06-02 03:53:25.928194,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,976.5
2025-06-02 03:53:26.928229,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,25.0
2025-06-02 03:53:27.928275,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,23usec,170.9
2025-06-02 03:53:28.928405,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,223.3
2025-06-02 03:53:29.928307,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,25usec,366.6
2025-06-02 03:53:30.928462,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,462.6
2025-06-02 03:53:31.928553,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,22usec,571.17
2025-06-02 03:53:32.928468,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,32usec,607.10
2025-06-02 03:53:33.928533,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,36usec,702.14
2025-06-02 03:53:34.928602,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,811.11
2025-06-02 03:53:35.928587,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,885.5
2025-06-02 03:53:36.928644,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,44.7
2025-06-02 03:53:37.928708,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,70.16
2025-06-02 03:53:38.928755,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,209.10
2025-06-02 03:53:39.928799,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,263.16
