# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=300,gain=60,cFreq=3407100000.0,PW=0.00035000000000000005,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,dl_olla,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_dl_olla,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-03 05:38:54.059672,51,561,241,0,0,0,0,0,0,0,0,0,1usec,228usec,159.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-03 05:38:55.059536,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,200.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-03 05:38:56.059693,51,1400,600,1,0,0,0,0.00786,0.00833,0,0,1,4usec,38usec,388.0,9.0kbps,17kbps,4.5ms,4.5ms,4ms,0x4601,375.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,11,1.0,11,9.8kbps,10,1,9%,0,74,30.9,ovl,1,23,18kbps,4,0,0%,41,0,4,0,0,1,0,0,0,212ns,n/a,3,4.5ms,4.5ms,4.38ms,n/a,n/a,4ms,,0,4601,-107.0,-10.5,16.5,,,,,
2025-06-03 05:38:57.059607,51,1400,600,0,0,0,2,0.00786,0.147,0,0,1,8usec,34usec,440.3,11kbps,1.4Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,20,12kbps,9,2,18%,0,22,32.2,-1.2,1,27,1.4Mbps,88,0,0%,1464,2.01k,2,0,0,0,0,0,0,246ns,n/a,-1,4.5ms,4.5ms,4.5ms,4.14ms,4.5ms,4ms,,0,4601,-105.0,-11.0,18.0,6.0,5.45,45.7,0.0,575.0
2025-06-03 05:38:58.059619,51,1400,600,0,0,25,2,0.534,0.163,0,0,1,11usec,40usec,564.10,22Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,11,1.0,20,22Mbps,724,14,1%,383k,36168,31.7,-1.2,1,27,1.6Mbps,98,0,0%,1618,0,1,0,0,0,0,0,0,377ns,n/a,1,4.49ms,4.5ms,4.43ms,4.06ms,4.5ms,3.96ms,0.50299704,0,4601,-106.0,-10.5,18.0,6.0,5.38,45.1,0.0,829.0
2025-06-03 05:38:59.059664,51,1400,600,0,0,49,0,1,0.105,0,0,1,12usec,39usec,682.3,43Mbps,442kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,43Mbps,1261,139,9%,665k,69153,32.3,ovl,1,27,442kbps,63,0,0%,456,0,30,0,0,0,0,0,0,367ns,n/a,2,4.47ms,4.5ms,4.32ms,4.02ms,4.5ms,3.95ms,,0,4601,-105.0,-10.5,18.5,6.0,5.38,45.1,0.0,1.06
2025-06-03 05:39:00.059664,51,1400,600,0,0,49,0,1,0.12,0,0,1,13usec,39usec,745.16,44Mbps,504kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,44Mbps,1296,104,7%,919k,69094,33.3,ovl,1,27,504kbps,72,0,0%,520,0,23,0,0,0,0,0,0,191ns,n/a,1,4.41ms,4.5ms,4.22ms,4.01ms,4.5ms,3.95ms,0.6389667,0,4601,-105.0,-11.0,18.0,6.0,5.38,45.1,0.0,1.3
2025-06-03 05:39:01.059605,51,1400,600,0,0,49,0,1,0.108,0,0,1,13usec,36usec,872.15,43Mbps,446kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,43Mbps,1257,143,10%,1.13M,69154,33.5,ovl,1,27,447kbps,65,0,0%,461,745,27,0,0,0,0,0,0,139ns,n/a,2,4.44ms,4.5ms,4.23ms,4.02ms,4.5ms,3.95ms,0.49395162,0,4601,-105.0,-11.0,18.5,6.0,5.0,41.9,0.0,1.54
2025-06-03 05:39:02.059519,51,1400,600,0,0,49,0,1,0.11,0,0,1,13usec,40usec,984.3,43Mbps,466kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,43Mbps,1265,135,9%,1.46M,69042,33.3,-0.0,1,27,467kbps,66,0,0%,482,0,25,0,0,0,0,0,0,145ns,n/a,1,4.44ms,4.5ms,4.28ms,4.01ms,4.5ms,3.95ms,0.41493654,0,4601,-105.0,-11.0,18.0,6.0,4.75,39.8,0.0,1.79
2025-06-03 05:39:03.059517,51,1400,600,0,0,49,0,0.999,0.102,0,0,1,14usec,149usec,0.18,41Mbps,429kbps,4.5ms,5ms,5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,5ms,,,,4601,1,12,1.0,21,41Mbps,1269,130,9%,1.67M,69091,33.4,-0.1,1,27,430kbps,61,0,0%,443,0,27,23,15,3,0,0,0,142ns,n/a,1,4.48ms,5ms,4.28ms,4.04ms,4.5ms,3.99ms,0.5039249,0,4601,-105.0,-11.0,19.0,6.0,4.5,37.7,0.0,2.01
