# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=100,gain=60,cFreq=3410100000.0,PW=5e-05,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-03 08:31:00.591634,51,575,249,0,0,0,0,0,0,0,0,0,1usec,222usec,158.17
2025-06-03 08:31:01.591592,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,226.8
2025-06-03 08:31:02.591633,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,317.15
2025-06-03 08:31:03.591587,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,424.0
2025-06-03 08:31:04.591535,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,516.16
2025-06-03 08:31:05.591626,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,654.16
2025-06-03 08:31:06.591458,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,23usec,715.5
2025-06-03 08:31:07.591516,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,24usec,889.6
2025-06-03 08:31:08.591509,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,984.8
2025-06-03 08:31:09.591461,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,37.15
2025-06-03 08:31:10.591502,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,29usec,120.16
2025-06-03 08:31:11.591494,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,182.17
2025-06-03 08:31:12.591422,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,307.19
2025-06-03 08:31:13.591466,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,388.15
2025-06-03 08:31:14.591359,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,533.0
2025-06-03 08:31:15.591406,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,607.16
2025-06-03 08:31:16.591346,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,739.8
2025-06-03 08:31:17.591413,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,807.16
2025-06-03 08:31:18.591266,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,933.7
2025-06-03 08:31:19.591335,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,48.5
2025-06-03 08:31:20.591326,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,115.0
2025-06-03 08:31:21.591210,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,168.6
2025-06-03 08:31:22.591286,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,292.13
2025-06-03 08:31:23.591193,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,353.17
