# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=350,gain=60,cFreq=3410100000.0,PW=0.00025,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-03 09:07:29.408481,51,561,241,0,0,0,0,0,0,0,0,0,1usec,212usec,159.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-03 09:07:30.408341,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,296.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-03 09:07:31.408403,51,1400,600,1,0,0,0,0.00429,0.005,0,0,1,4usec,28usec,350.16,2.0kbps,8.0kbps,4.5ms,4.5ms,4.5ms,0x4601,391.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,9,1.0,3,2.8kbps,3,0,0%,0,64,0,27.2,ovl,1,19,8.6kbps,2,0,0%,30,0,2,0,0,0,0,0,0,-87ns,n/a,5,4.5ms,4.5ms,4.5ms,n/a,n/a,4.2ms,0,4601,-108.0,-11.0,16.0,,,,,
2025-06-03 09:07:32.408321,51,1400,600,0,0,0,2,0.00857,0.152,0,0,1,8usec,33usec,402.0,21kbps,1.4Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,22,21kbps,15,0,0%,0,26,0.010000001,32.6,-1.1,1,27,1.4Mbps,91,0,0%,1500,2.01k,3,0,0,1,0,0,0,148ns,n/a,0,4.49ms,4.5ms,4.48ms,4.17ms,4.5ms,3.88ms,0,4601,-105.0,-11.0,18.0,6.0,5.46,45.8,0.0,603.0
2025-06-03 09:07:33.408385,51,1400,600,0,0,21,2,0.454,0.165,0,0,1,11usec,34usec,566.16,19Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,20,19Mbps,611,15,2%,380k,30606,0.4179982,32.5,-1.1,1,27,1.6Mbps,99,0,0%,1609,10,1,0,0,0,0,0,0,145ns,n/a,1,4.49ms,4.5ms,4.43ms,4.06ms,4.5ms,3.95ms,0,4601,-105.0,-11.0,18.0,6.0,5.38,45.1,0.0,856.0
2025-06-03 09:07:34.408409,51,1400,600,0,0,49,0,1,0.12,0,0,1,13usec,69usec,656.2,44Mbps,509kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,44Mbps,1290,110,7%,641k,69174,,33.2,ovl,1,27,509kbps,72,0,0%,525,0,28,0,0,0,0,0,0,156ns,n/a,1,4.41ms,4.5ms,4.19ms,4.01ms,4.5ms,3.94ms,0,4601,-105.0,-11.0,18.0,6.0,5.38,45.1,0.0,1.08
2025-06-03 09:07:35.408378,51,1400,600,0,0,49,0,1,0.105,0,0,1,12usec,35usec,708.16,44Mbps,457kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,44Mbps,1283,117,8%,889k,69104,0.7119677,33.0,ovl,1,27,457kbps,63,0,0%,471,20,26,0,0,0,0,0,0,173ns,n/a,1,4.46ms,4.5ms,4.21ms,4ms,4ms,3.94ms,0,4601,-105.0,-11.0,18.0,6.0,5.25,44.0,0.0,1.33
2025-06-03 09:07:36.408387,51,1400,600,0,0,49,0,1,0.105,0,0,1,12usec,35usec,815.16,43Mbps,431kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,43Mbps,1258,142,10%,1.1M,69104,0.5919527,32.3,ovl,1,27,431kbps,63,0,0%,445,384,32,0,0,0,0,0,0,377ns,n/a,1,4.42ms,4.5ms,4.22ms,4.02ms,4.5ms,3.94ms,0,4601,-105.0,-11.0,18.0,6.0,4.62,38.8,0.0,1.54
2025-06-03 09:07:37.408330,51,1400,600,0,0,49,0,1,0.112,0,0,1,12usec,39usec,998.15,43Mbps,466kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,22,43Mbps,1258,142,10%,1.48M,69142,,32.4,ovl,1,27,466kbps,67,0,0%,481,0,31,0,0,0,0,0,0,373ns,n/a,1,4.43ms,4.5ms,4.25ms,4.01ms,4.5ms,3.95ms,0,4601,-105.0,-11.0,18.5,6.0,5.12,43.0,58.0,1.17
2025-06-03 09:07:38.408376,51,1395,598,0,19,48,0,0.981,0.105,0,0,1,14usec,944usec,14.5,39Mbps,428kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,12,1.0,22,39Mbps,1169,173,12%,1.5M,67364,0.049927928,32.4,ovl,1,27,428kbps,62,0,0%,451,1.04k,31,15,10,0,0,0,0,305ns,n/a,1,4.41ms,4.5ms,4.27ms,4.73ms,18.5ms,3.89ms,0,4601,-105.0,-11.0,18.0,6.0,4.62,38.8,0.0,1.29
