# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=150,gain=60,cFreq=3414100000.0,PW=0.0001,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-03 13:41:41.945260,51,560,240,0,0,0,0,0,0,0,0,0,1usec,226usec,160.1
2025-06-03 13:41:42.945304,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,259.5
2025-06-03 13:41:43.945267,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,315.5
2025-06-03 13:41:44.945315,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,419.8
2025-06-03 13:41:45.945347,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,544.5
2025-06-03 13:41:46.945239,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,658.16
2025-06-03 13:41:47.945264,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,701.6
2025-06-03 13:41:48.945114,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,840.7
2025-06-03 13:41:49.945136,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,994.18
2025-06-03 13:41:50.945190,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,1007.1
2025-06-03 13:41:51.945101,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,107.6
2025-06-03 13:41:52.945220,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,176.7
2025-06-03 13:41:53.945046,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,277.14
2025-06-03 13:41:54.945173,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,417.6
2025-06-03 13:41:55.945013,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,525.17
2025-06-03 13:41:56.945032,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,625.1
2025-06-03 13:41:57.945074,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,27usec,757.1
2025-06-03 13:41:58.944978,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,25usec,781.9
2025-06-03 13:41:59.944973,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,25usec,877.17
2025-06-03 13:42:00.944907,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,21usec,1003.6
2025-06-03 13:42:01.944995,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,79.7
2025-06-03 13:42:02.944985,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,212.17
2025-06-03 13:42:03.944930,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,286.13
2025-06-03 13:42:04.944922,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,401.6
2025-06-03 13:42:05.944863,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,493.16
2025-06-03 13:42:06.944866,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,599.7
2025-06-03 13:42:07.944901,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,726.13
2025-06-03 13:42:08.944796,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,811.6
2025-06-03 13:42:09.944859,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,865.16
2025-06-03 13:42:10.944709,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,957.16
2025-06-03 13:42:11.944767,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,56.6
2025-06-03 13:42:12.944717,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,152.5
2025-06-03 13:42:13.944782,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,271.16
2025-06-03 13:42:14.944780,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,390.17
2025-06-03 13:42:15.944656,51,1400,599,0,0,0,0,0,0,0,0,0,4usec,18usec,441.6
2025-06-03 13:42:16.944698,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,23usec,543.6
2025-06-03 13:42:17.944643,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,16usec,665.12
2025-06-03 13:42:18.944687,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,16usec,819.12
2025-06-03 13:42:19.944681,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,16usec,854.6
2025-06-03 13:42:20.944632,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,959.16
2025-06-03 13:42:21.944630,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,23usec,99.18
2025-06-03 13:42:22.944509,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,24usec,152.5
2025-06-03 13:42:23.944487,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,222.6
2025-06-03 13:42:24.944593,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,17usec,311.2
2025-06-03 13:42:25.944525,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,22usec,501.15
2025-06-03 13:42:26.944482,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,584.14
2025-06-03 13:42:27.944443,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,658.6
2025-06-03 13:42:28.944432,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,23usec,741.10
2025-06-03 13:42:29.944426,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,890.5
2025-06-03 13:42:30.944395,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,17usec,928.6
2025-06-03 13:42:31.944454,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,44.16
2025-06-03 13:42:32.944446,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,119.6
2025-06-03 13:42:33.944370,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,21usec,198.15
2025-06-03 13:42:34.944269,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,21usec,290.6
2025-06-03 13:42:35.944358,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,402.17
2025-06-03 13:42:36.944411,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,20usec,499.6
2025-06-03 13:42:37.944295,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,616.15
2025-06-03 13:42:38.944285,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,777.6
2025-06-03 13:42:39.944167,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,801.4
2025-06-03 13:42:40.944301,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,23usec,882.14
2025-06-03 13:42:41.944200,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,37.18
2025-06-03 13:42:42.944205,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,60.16
2025-06-03 13:42:43.944244,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,187.1
2025-06-03 13:42:44.944071,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,351.10
