# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=100,gain=60,cFreq=3405100000.0,PW=5e-05,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"debug","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-05 11:01:58.202965,51,556,240,0,0,0,0,0,0,0,0,0,1usec,247usec,160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 11:01:59.203003,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,21usec,287.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 11:02:00.202896,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,23usec,358.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4601,-108.0,-10.5,15.0,,,,,
2025-06-05 11:02:01.203000,51,1400,600,1,0,0,1,0.0114,0.142,0,0,1,7usec,37usec,426.1,19kbps,975kbps,4.5ms,4.5ms,4.5ms,4.5ms,0x4601,422.7,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,15,20kbps,16,0,0%,0,86,0.009000001,31.5,-1.1,1,27,975kbps,83,0,0%,1039,2.01k,5,0,0,2,0,0,0,245ns,n/a,-1,4.47ms,4.5ms,4.39ms,4ms,4.12ms,0,4601,-105.0,-10.5,17.5,6.0,5.46,45.8,0.0,440.0
2025-06-05 11:02:02.203161,51,1400,600,0,0,17,2,0.36,0.25,0,0,1,12usec,43usec,591.6,16Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,23,16Mbps,483,12,2%,193k,23949,0.34599912,31.3,-0.8,1,27,1.6Mbps,150,0,0%,1664,2.01k,1,0,0,0,0,0,0,379ns,n/a,0,4.49ms,4.5ms,4.35ms,4.07ms,3.98ms,0,4601,-104.0,-10.5,18.0,6.0,5.38,45.1,0.0,679.0
2025-06-05 11:02:03.203031,51,1400,600,0,0,49,0,1,0.113,0,0,1,15usec,66usec,613.2,47Mbps,492kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,13,1.0,24,47Mbps,1301,99,7%,176k,69151,0.5949936,31.2,-0.1,1,27,492kbps,69,0,0%,498,102,25,0,0,0,0,0,0,363ns,n/a,0,4.45ms,4.5ms,4.25ms,4ms,3.95ms,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,692.0
2025-06-05 11:02:04.203093,51,1400,600,0,0,49,0,1,0.117,0,0,1,15usec,43usec,779.16,47Mbps,491kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1290,110,7%,165k,69184,0.6969864,31.5,-0.0,1,27,491kbps,70,0,0%,507,384,20,0,0,0,0,0,0,214ns,n/a,0,4.47ms,4.5ms,4.26ms,4.04ms,3.95ms,0,4601,-104.0,-10.5,18.0,6.0,5.25,44.0,0.0,729.0
2025-06-05 11:02:05.202976,51,1400,600,0,0,49,0,1,0.113,0,0,1,16usec,60usec,802.15,47Mbps,472kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,14,1.0,24,47Mbps,1271,129,9%,205k,69143,0.6359799,31.9,-0.0,1,27,472kbps,68,0,0%,487,0,32,0,0,0,0,0,0,141ns,n/a,0,4.47ms,4.5ms,4.26ms,4.07ms,3.95ms,0,4601,-104.0,-10.5,18.0,6.0,5.38,45.1,0.0,732.0
2025-06-05 11:02:06.203031,51,1400,600,0,0,49,0,1,0.115,0,0,1,15usec,50usec,946.6,47Mbps,474kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,47Mbps,1287,113,8%,189k,69146,0.69497246,32.0,ovl,1,27,475kbps,68,0,0%,497,10,27,0,0,0,0,0,0,146ns,n/a,-1,4.48ms,4.5ms,4.24ms,4.04ms,3.94ms,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,347.0,400.0
2025-06-05 11:02:07.203055,51,1400,600,0,0,49,1,0.999,0.118,0,0,1,20usec,1176usec,22.10,42Mbps,432kbps,5ms,5ms,5ms,5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ms,,5ms,5ms,,,,4601,1,13,1.0,23,42Mbps,1194,204,14%,282k,69054,-0.13503565,25.8,-5.6,1,24,432kbps,61,11,15%,752,0,28,18,7,2,10,0,-0.49000013,110ns,n/a,0,4.5ms,5ms,4.3ms,4.1ms,4ms,0,4601,-104.0,-10.5,18.0,6.0,5.25,44.0,0.0,428.0
2025-06-05 11:02:08.203085,51,1400,600,0,0,49,0,1,0.11,0,0,1,15usec,44usec,171.16,43Mbps,456kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,13,1.0,22,43Mbps,1317,83,5%,313k,69132,0.299959,31.9,-0.0,1,27,457kbps,66,0,0%,471,0,28,0,0,0,0,0,-0.49000013,163ns,n/a,0,4.48ms,4.5ms,4.14ms,4.02ms,3.95ms,0,4601,-105.0,-10.5,18.0,6.0,3.75,31.5,0.0,444.0
2025-06-05 11:02:09.203005,51,1400,600,0,0,49,0,1,0.0933,0,0,1,15usec,50usec,191.16,41Mbps,381kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,12,1.0,21,41Mbps,1250,150,10%,312k,69143,0.03195521,31.9,ovl,1,27,382kbps,56,0,0%,394,0,43,0,0,0,0,0,-0.49000013,169ns,n/a,0,4.48ms,4.5ms,4.3ms,4.04ms,3.94ms,0,4601,-104.0,-10.5,18.0,6.0,3.5,29.4,0.0,453.0
2025-06-05 11:02:10.202981,51,1400,600,0,0,49,0,1,0.0983,0,0,1,15usec,48usec,299.16,31Mbps,406kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,9,1.0,16,31Mbps,1339,61,4%,343k,69156,0.67194283,32.0,-0.0,1,27,406kbps,59,0,0%,419,0,39,0,0,0,0,0,-0.49000013,172ns,n/a,0,4.48ms,4.5ms,4.22ms,4.04ms,3.94ms,0,4601,-105.0,-10.5,17.5,6.0,3.62,30.4,0.0,454.0
2025-06-05 11:02:11.203112,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,50usec,439.16,31Mbps,339kbps,4.5ms,4.5ms,5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,5ms,4.5ms,,,,4601,1,9,1.0,16,31Mbps,1301,99,7%,311k,69163,0.9319277,31.7,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,178ns,n/a,0,4.46ms,4.5ms,4.27ms,4.05ms,3.94ms,0,4601,-105.0,-10.5,18.0,6.0,3.88,32.5,0.0,454.0
2025-06-05 11:02:12.203074,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,50usec,526.15,33Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,9,1.0,17,33Mbps,1301,99,7%,382k,69163,1.1919655,31.9,ovl,1,27,339kbps,50,0,0%,350,0,49,0,0,0,0,0,-0.49000013,186ns,n/a,0,4.47ms,4.5ms,4.26ms,4.04ms,3.94ms,0,4601,-105.0,-10.5,17.5,6.0,3.75,31.5,0.0,454.0
2025-06-05 11:02:13.203009,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,45usec,669.16,33Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,9,1.0,17,33Mbps,1300,100,7%,296k,69174,1.4420248,31.8,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,182ns,n/a,0,4.45ms,4.5ms,4.24ms,4.01ms,3.93ms,0,4601,-105.0,-10.5,18.0,6.0,4.0,33.6,0.0,461.0
2025-06-05 11:02:14.203002,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,40usec,736.4,35Mbps,339kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,9,1.0,18,35Mbps,1300,100,7%,332k,69184,1.6920842,31.8,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,146ns,n/a,0,4.46ms,4.5ms,4.27ms,4.01ms,3.94ms,0,4601,-105.0,-10.5,18.0,6.0,4.12,34.6,0.0,473.0
2025-06-05 11:02:15.202984,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,53usec,798.15,35Mbps,339kbps,4.5ms,4.5ms,4ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4ms,,,,4601,1,9,1.0,18,35Mbps,1300,100,7%,340k,69184,1.9421436,31.9,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,152ns,n/a,-1,4.48ms,4.5ms,4.21ms,4ms,3.94ms,0,4601,-105.0,-10.5,17.5,6.0,5.12,43.0,0.0,496.0
2025-06-05 11:02:16.203014,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,64usec,959.16,40Mbps,339kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,10,1.0,20,40Mbps,1283,117,8%,295k,69142,,32.0,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,159ns,n/a,0,4.48ms,4.5ms,4.27ms,4.03ms,3.95ms,0,4601,-105.0,-10.5,17.0,6.0,5.12,43.0,0.0,532.0
2025-06-05 11:02:17.202912,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,51usec,31.16,45Mbps,339kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,12,1.0,24,45Mbps,1220,180,12%,407k,69112,1.4871503,31.9,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,165ns,n/a,0,4.47ms,4.5ms,4.25ms,4ms,3.94ms,0,4601,-105.0,-10.5,17.5,6.0,5.12,43.0,0.0,583.0
2025-06-05 11:02:18.203026,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,45usec,58.6,45Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,12,1.0,23,45Mbps,1276,124,8%,326k,69142,1.49821,31.9,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,167ns,n/a,0,4.48ms,4.5ms,4.21ms,4.04ms,3.94ms,0,4601,-105.0,-10.5,18.0,6.0,5.12,43.0,0.0,657.0
2025-06-05 11:02:19.203032,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,49usec,244.16,45Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,12,1.0,23,45Mbps,1273,127,9%,517k,69114,1.4962695,31.7,ovl,1,27,339kbps,50,0,0%,350,0,49,0,0,0,0,0,-0.49000013,171ns,n/a,0,4.49ms,4.5ms,4.3ms,4.01ms,3.94ms,0,4601,-105.0,-10.5,18.0,6.0,5.25,44.0,0.0,749.0
2025-06-05 11:02:20.203009,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,42usec,301.16,45Mbps,339kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,12,1.0,23,45Mbps,1273,127,9%,533k,69058,,31.7,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,180ns,n/a,0,4.48ms,4.5ms,4.19ms,3.99ms,3.94ms,0,4601,-105.0,-10.5,17.5,6.0,5.5,46.1,0.0,870.0
2025-06-05 11:02:21.203013,51,1400,600,0,0,49,0,1,0.0833,0,0,1,15usec,49usec,379.16,45Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,12,1.0,23,45Mbps,1274,126,9%,645k,69153,1.5043886,31.9,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.49000013,187ns,n/a,0,4.47ms,4.5ms,4.29ms,4.04ms,3.93ms,0,4601,-105.0,-10.5,17.5,6.0,5.38,45.1,0.0,1014.0
