# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=450,gain=60,cFreq=3406100000.0,PW=5e-05,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,dl_olla,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_dl_olla,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-05 12:27:30.119932,51,570,246,0,0,0,0,0,0,0,0,0,1usec,215usec,159.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05 12:27:31.119934,51,1400,600,1,0,0,0,0.00929,0.01,0,0,1,5usec,31usec,274.0,12kbps,22kbps,4.5ms,4.5ms,4.5ms,0x4601,262.7,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,12,1.0,12,13kbps,12,1,7%,0,78,30.4,-0.2,1,24,23kbps,5,0,0%,46,0,5,0,0,2,0,0,0,126ns,n/a,1,4.5ms,4.5ms,4.5ms,n/a,n/a,4.07ms,,0,4601,-105.0,-10.5,18.0,,,,,
2025-06-05 12:27:32.119799,51,1400,600,0,0,0,2,0.00286,0.165,0,0,1,8usec,36usec,314.7,5.0kbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,21,5.8kbps,4,0,0%,0,8,31.7,-2.6,1,27,1.6Mbps,99,0,0%,1663,2.01k,1,0,0,0,0,0,0,304ns,n/a,-3,4.49ms,4.5ms,4.49ms,4.33ms,4.5ms,4ms,2.3283064e-10,0,4601,-104.0,-10.5,18.5,6.0,5.45,45.7,0.0,577.0
2025-06-05 12:27:33.119932,51,1400,600,0,0,35,2,0.733,0.158,0,0,1,12usec,44usec,443.5,32Mbps,1.4Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,11,1.0,21,32Mbps,1003,14,1%,422k,49945,31.4,-2.2,1,27,1.4Mbps,95,0,0%,1477,0,5,0,0,0,0,0,0,378ns,n/a,0,4.48ms,4.5ms,4.46ms,4.07ms,4.5ms,3.96ms,0.76599336,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,733.0
2025-06-05 12:27:34.119859,51,1400,600,0,0,49,0,1,0.0933,0,0,1,13usec,37usec,546.15,48Mbps,379kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,23,48Mbps,1295,105,7%,402k,69039,31.7,ovl,1,27,380kbps,56,0,0%,392,384,40,0,0,0,0,0,0,343ns,n/a,0,4.47ms,4.5ms,4.19ms,4.01ms,4.5ms,3.94ms,0.995985,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,840.0
2025-06-05 12:27:35.119875,51,1400,600,0,0,49,0,1,0.107,0,0,1,13usec,37usec,611.16,46Mbps,438kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,23,46Mbps,1264,136,9%,497k,69111,32.3,-0.0,1,27,438kbps,64,0,0%,452,0,31,0,0,0,0,0,0,197ns,n/a,0,4.46ms,4.5ms,4.29ms,4.03ms,4.5ms,3.95ms,0.92200285,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,840.0
2025-06-05 12:27:36.119854,51,1400,600,0,0,49,0,1,0.102,0,0,1,13usec,47usec,733.1,46Mbps,427kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,23,46Mbps,1270,130,9%,612k,69121,32.4,-0.1,1,27,428kbps,61,0,0%,441,0,31,0,0,0,0,0,0,139ns,n/a,0,4.44ms,4.5ms,4.25ms,4.01ms,4.5ms,3.94ms,,0,4601,-104.0,-10.5,18.0,6.0,5.25,44.0,0.0,910.0
2025-06-05 12:27:37.119871,51,1400,600,0,0,49,0,1,0.095,0,0,1,13usec,37usec,818.16,47Mbps,401kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,23,47Mbps,1295,105,7%,600k,69073,32.5,-0.0,1,27,401kbps,57,0,0%,414,0,39,0,0,0,0,0,0,146ns,n/a,0,4.48ms,4.5ms,4.3ms,4.03ms,4.5ms,3.94ms,1.1180302,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,4.0,724.0
2025-06-05 12:27:38.119850,51,1400,600,0,0,49,0,1,0.107,0,0,1,14usec,252usec,925.8,42Mbps,470kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,12,1.0,22,42Mbps,1217,183,13%,583k,69084,32.3,-0.2,1,27,470kbps,64,0,0%,485,1.45k,33,2,4,2,0,0,0,142ns,n/a,0,4.48ms,4.5ms,4.31ms,4.05ms,4.5ms,3.94ms,0.63702184,0,4601,-104.0,-10.5,18.5,6.0,5.38,45.1,0.0,803.0
2025-06-05 12:27:39.119841,51,1400,600,0,0,49,0,1,0.11,0,0,1,13usec,43usec,34.15,47Mbps,477kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,13,1.0,23,47Mbps,1301,99,7%,646k,69122,31.8,-0.3,1,27,477kbps,64,2,3%,527,0,32,0,0,0,0,0,-0.19800003,161ns,n/a,0,4.48ms,4.5ms,4.3ms,4.03ms,4.5ms,3.94ms,0.9370103,0,4601,-104.0,-10.5,18.0,6.0,3.88,32.5,0.0,860.0
