# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=250,gain=60,cFreq=3411100000.0,PW=5e-05,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-05 18:39:04.670274,51,561,241,0,0,0,0,0,0,0,0,0,1usec,215usec,159.19
2025-06-05 18:39:05.670238,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,219.5
2025-06-05 18:39:06.670239,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,334.9
2025-06-05 18:39:07.670222,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,447.6
2025-06-05 18:39:08.670274,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,558.5
2025-06-05 18:39:09.670247,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,652.6
2025-06-05 18:39:10.670211,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,731.7
2025-06-05 18:39:11.670191,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,850.13
2025-06-05 18:39:12.670186,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,977.6
2025-06-05 18:39:13.670281,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,1022.11
2025-06-05 18:39:14.670203,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,166.7
2025-06-05 18:39:15.670171,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,178.17
2025-06-05 18:39:16.670142,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,279.8
2025-06-05 18:39:17.670111,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,406.16
2025-06-05 18:39:18.670128,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,553.18
2025-06-05 18:39:19.670218,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,580.4
2025-06-05 18:39:20.670137,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,681.15
2025-06-05 18:39:21.670219,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,795.6
2025-06-05 18:39:22.670098,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,974.6
2025-06-05 18:39:23.670176,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,23usec,3.5
2025-06-05 18:39:24.670155,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,78.15
2025-06-05 18:39:25.670139,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,24usec,187.18
2025-06-05 18:39:26.670198,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,285.10
2025-06-05 18:39:27.670096,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,388.6
