# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=350,gain=60,cFreq=3412100000.0,PW=0.00045000000000000004,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-05 21:00:16.080266,51,561,241,0,0,0,0,0,0,0,0,0,1usec,234usec,159.19
2025-06-05 21:00:17.080109,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,217.14
2025-06-05 21:00:18.080091,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,346.1
2025-06-05 21:00:19.080026,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,414.15
2025-06-05 21:00:20.079934,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,34usec,562.14
2025-06-05 21:00:21.079984,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,609.6
2025-06-05 21:00:22.079837,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,783.15
2025-06-05 21:00:23.079885,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,812.3
2025-06-05 21:00:24.079743,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,990.8
2025-06-05 21:00:25.079713,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,23usec,10.5
2025-06-05 21:00:26.079711,51,1398,600,0,0,0,0,0,0,0,0,0,3usec,18usec,105.5
2025-06-05 21:00:27.079629,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,264.3
2025-06-05 21:00:28.079644,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,331.5
2025-06-05 21:00:29.079509,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,23usec,408.3
2025-06-05 21:00:30.079616,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,558.14
2025-06-05 21:00:31.079509,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,24usec,639.6
2025-06-05 21:00:32.079382,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,748.3
2025-06-05 21:00:33.079397,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,797.8
2025-06-05 21:00:34.079294,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,929.5
2025-06-05 21:00:35.079283,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,46.8
2025-06-05 21:00:36.079187,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,148.14
2025-06-05 21:00:37.079117,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,182.9
2025-06-05 21:00:38.079225,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,286.5
2025-06-05 21:00:39.079083,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,29usec,410.12
2025-06-05 21:00:40.079112,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,26usec,526.6
2025-06-05 21:00:41.078970,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,623.6
2025-06-05 21:00:42.079015,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,717.16
2025-06-05 21:00:43.078982,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,815.6
2025-06-05 21:00:44.078854,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,859.9
2025-06-05 21:00:45.078823,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,1007.17
2025-06-05 21:00:46.078725,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,30.12
2025-06-05 21:00:47.078772,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,220.6
2025-06-05 21:00:48.078710,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,264.1
2025-06-05 21:00:49.078651,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,377.3
2025-06-05 21:00:50.078594,51,1399,600,0,0,0,0,0,0,0,0,0,4usec,77usec,458.5
2025-06-05 21:00:51.078514,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,559.7
2025-06-05 21:00:52.078526,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,32usec,689.1
2025-06-05 21:00:53.078428,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,806.15
2025-06-05 21:00:54.078409,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,23usec,846.10
2025-06-05 21:00:55.078459,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,26usec,985.16
2025-06-05 21:00:56.078323,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,20usec,13.16
2025-06-05 21:00:57.078259,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,147.17
2025-06-05 21:00:58.078237,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,20usec,287.6
2025-06-05 21:00:59.078237,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,17usec,372.15
2025-06-05 21:01:00.078290,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,495.6
2025-06-05 21:01:01.078179,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,15usec,526.17
2025-06-05 21:01:02.078187,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,21usec,615.15
2025-06-05 21:01:03.077989,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,27usec,714.6
2025-06-05 21:01:04.078013,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,22usec,879.3
2025-06-05 21:01:05.077988,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,22usec,1002.8
2025-06-05 21:01:06.077882,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,15usec,40.12
2025-06-05 21:01:07.077888,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,126.1
2025-06-05 21:01:08.077742,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,201.5
2025-06-05 21:01:09.077853,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,22usec,324.0
2025-06-05 21:01:10.077668,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,18usec,410.15
2025-06-05 21:01:11.077715,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,21usec,490.15
2025-06-05 21:01:12.077686,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,23usec,582.14
2025-06-05 21:01:13.077594,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,14usec,765.19
2025-06-05 21:01:14.077565,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,24usec,819.6
2025-06-05 21:01:15.077482,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,927.16
2025-06-05 21:01:16.077588,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,990.8
2025-06-05 21:01:17.077451,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,103.16
2025-06-05 21:01:18.077485,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,182.8
2025-06-05 21:01:19.077396,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,298.1
