# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,total_dl_brate,total_ul_brate,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,max_crc_delay,max_ce_delay,max_pucch_harq_delay,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_total_dl_brate,ue_total_ul_brate,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-06 15:30:10.155864,1.0kbps,22kbps,51,1400,600,0,0,0,0,0.00357,0.00833,0,0,1,8usec,35usec,856.0,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,1,4601,3,1.0,3,1.3kbps,6,0,0%,0,10,0.3119995,24.2,-19.1,1,24,22kbps,5,0,0%,26,0,5,0,0,0,0,0,-4.9820013,172ns,n/a,-10,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms,0,4601,-124,-14.5,0.0,,,,,
2025-06-06 15:30:11.155836,,8.0kbps,51,1400,600,0,0,0,0,0.00143,0.005,0,0,1,9usec,35usec,951.3,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,1,4601,3,1.0,3,,2,0,0%,0,4,0.31399947,23.2,-19.7,1,23,8.7kbps,2,1,33%,16,0,2,0,0,0,0,0,-4.999,174ns,n/a,-10,4.5ms,4.5ms,4.5ms,n/a,n/a,4.17ms,0,4601,-123,-14.5,0.0,,,,,
2025-06-06 15:30:12.155804,,8.0kbps,51,1400,600,0,0,0,0,0.00143,0.00333,0,0,1,8usec,25usec,24.0,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,1,4601,3,1.0,3,,2,0,0%,0,4,0.31599945,22.8,-20.3,1,21,8.6kbps,2,0,0%,12,0,2,0,0,0,0,0,-4.997,182ns,n/a,-10,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms,0,4601,-123,-14.5,0.0,,,,,
2025-06-06 15:30:13.155882,1.0kbps,21kbps,51,1400,600,0,0,0,0,0.00357,0.00833,0,0,1,8usec,30usec,120.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,1,4601,3,1.0,3,1.1kbps,5,0,0%,0,10,0.32099938,23.5,-19.7,1,22,21kbps,5,0,0%,27,0,5,0,0,0,0,0,-4.9920006,191ns,n/a,-9,4.5ms,4.5ms,4.4ms,n/a,n/a,4.05ms,0,4601,-123,-15.0,0.0,,,,,
2025-06-06 15:30:14.155887,,8.0kbps,51,1400,600,0,0,0,0,0.00143,0.00333,0,0,1,8usec,29usec,136.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,1,4601,3,1.0,3,,2,0,0%,0,4,0.32299936,22.8,-20.0,1,21,8.8kbps,2,0,0%,12,0,2,0,0,0,0,0,-4.9900007,198ns,n/a,-11,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms,0,4601,-124,-15.0,-0.5,6.0,1.23,10.3,0.0,140.0
2025-06-06 15:30:15.155849,4.8Mbps,664kbps,51,1400,600,0,0,27,4,0.572,0.187,0,0,1,11usec,35usec,303.3,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,1,4601,3,1.0,4,4.8Mbps,792,0,0%,82k,38891,1.029992,17.9,-23.5,1,17,664kbps,66,46,41%,2471,2.01k,2,0,0,0,0,0,,195ns,n/a,-15,4.5ms,4.5ms,4.46ms,4.06ms,4.5ms,3.96ms,0,4601,-124,-14.5,0.0,6.0,1.25,10.5,0.0,195.0
2025-06-06 15:30:16.155937,9.3Mbps,688kbps,51,1398,598,0,4,46,4,0.943,0.197,0,0,1,12usec,39usec,359.1,5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,5ms,,4ms,1,4601,3,1.0,5,9.3Mbps,1168,152,11%,115k,64789,0.8020099,17.3,-24.0,1,17,688kbps,71,47,39%,2626,2.81k,6,1,1,0,1,0,-4.999,207ns,n/a,-10,4.5ms,4.5ms,4.42ms,4.02ms,4.5ms,3.93ms,0,4601,-123,-14.5,0.5,6.0,1.12,9.44,0.0,250.0
2025-06-06 15:30:17.155843,9.2Mbps,231kbps,51,1400,600,0,0,49,0,1,0.135,0,0,1,13usec,38usec,497.3,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,1,4601,3,1.0,4,9.2Mbps,1292,107,7%,178k,69174,1.0280143,23.4,-19.1,1,23,232kbps,66,16,19%,349,535,20,1,1,1,0,0,-4.998,214ns,n/a,-7,4.44ms,4.5ms,4.26ms,4ms,4ms,3.95ms,0,4601,-124,-14.5,0.0,6.0,1.25,10.5,0.0,307.0
2025-06-06 15:30:18.156023,10Mbps,215kbps,51,1400,600,0,0,49,1,1,0.148,0,0,1,13usec,42usec,629.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,1,4601,3,1.0,5,10Mbps,1246,154,11%,241k,69115,0.7670316,21.6,-21.2,1,22,216kbps,54,35,39%,636,198,8,0,0,0,0,0,,224ns,n/a,-8,4.42ms,4.5ms,4.33ms,4.02ms,4.5ms,3.95ms,0,4601,-123,-14.5,0.0,6.0,1.0,8.39,0.0,355.0
2025-06-06 15:30:19.155778,9.1Mbps,230kbps,51,1400,600,0,0,49,0,1,0.13,0,0,1,13usec,37usec,708.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,1,4601,3,1.0,4,9.1Mbps,1293,107,7%,317k,69093,0.9510364,24.1,-18.4,1,24,230kbps,59,19,24%,379,28,24,0,0,0,0,0,-4.997,201ns,n/a,-12,4.44ms,4.5ms,4.28ms,4.01ms,4.5ms,3.95ms,0,4601,-125,-14.5,-1.0,6.0,1.12,9.44,0.0,405.0
