# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,total_dl_brate,total_ul_brate,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,events,slot,type,prf,gain,cFreq,PW,T,bw,sampRate,ue_total_dl_brate,ue_total_ul_brate,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_prf,ue_gain,ue_cFreq,ue_PW,ue_T,ue_bw,ue_sampRate,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-06 16:45:52.149054,8.4Mbps,339kbps,51,1400,600,0,100,49,0,1,0.0833,0,0,1,13usec,41usec,338.16,4.5ms,5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,4,8.4Mbps,1183,117,9%,1.3M,68983,1.0028977,29.3,-11.1,1,27,339kbps,50,0,0%,350,0,48,2,0,0,0,0,-5,159ns,n/a,-10,4.51ms,5ms,4.33ms,4.04ms,3.92ms,,,,,,,,,,,18,461b,-123.0,-14.0,1.0,,,,,
2025-06-06 16:45:53.149005,7.9Mbps,352kbps,51,1400,600,0,100,49,0,1,0.0883,0,0,1,14usec,45usec,412.16,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,1,461b,3,1.0,4,7.9Mbps,1180,120,9%,317k,69121,0.9618908,29.5,-10.8,1,27,353kbps,52,0,0%,371,0,46,0,0,0,0,0,-5,166ns,n/a,-9,4.5ms,4.5ms,4.38ms,4.04ms,3.94ms,,,,,,,,,,,18,461b,-123.0,-14.5,0.5,,,,,
2025-06-06 16:45:54.148938,2.6Mbps,139kbps,51,1400,600,0,100,15,0,0.328,0.035,0,0,1,9usec,39usec,512.3,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,1,461b,3,1.0,4,2.6Mbps,399,36,8%,0,22289,0.9878884,29.7,-10.3,1,27,140kbps,22,0,0%,137,0,19,0,0,0,0,0,-5,171ns,n/a,-8,4.48ms,4.5ms,4.27ms,4.03ms,3.93ms,,,,,,,,,,,18,461b,-123.0,-15.0,0.5,,,,,
2025-06-06 16:45:55.149000,,9.0kbps,51,1400,600,0,100,0,0,0.00143,0.00333,0,0,1,8usec,25usec,670.1,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,1,461b,3,1.0,4,,2,0,0%,0,4,0.98988837,30.1,-9.1,1,27,9.7kbps,2,0,0%,10,0,2,0,0,0,0,0,-5,178ns,n/a,-8,4.5ms,4.5ms,4.5ms,n/a,4.12ms,,,,,,,,,,,18,461b,-123.0,-15.0,0.5,,,,,
2025-06-06 16:45:56.148995,3.0kbps,68kbps,51,1400,600,0,100,0,0,0.005,0.0117,0,0,1,8usec,30usec,762.15,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,4,3.9kbps,7,0,0%,0,26,0.9958883,29.5,-11.3,1,27,69kbps,7,0,0%,71,2.01k,4,0,0,0,0,0,-5,176ns,n/a,-13,4.5ms,4.5ms,4.43ms,4.25ms,4ms,,,,,,,,,,,18,461b,-123.0,-14.5,1.0,6.0,1.08,9.05,0.0,75.0
2025-06-06 16:45:57.149063,7.4Mbps,1.6Mbps,51,1400,600,0,100,42,2,0.86,0.167,0,0,1,12usec,42usec,896.16,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,4,7.4Mbps,1011,98,8%,93.7k,59046,0.9999021,27.8,-13.9,1,27,1.6Mbps,100,0,0%,1693,2.01k,0,0,0,0,0,0,-5,166ns,n/a,-13,4.5ms,4.5ms,4.5ms,4.03ms,3.94ms,,,,,,,,,,,18,461b,-123.0,-14.5,1.0,6.0,1.25,10.5,0.0,138.0
2025-06-06 16:45:58.149087,8.7Mbps,959kbps,51,1400,600,0,100,49,1,1,0.125,0,0,1,13usec,35usec,927.3,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,4,8.7Mbps,1185,115,8%,133k,69092,1.0049212,28.5,-12.6,1,27,960kbps,74,0,0%,1001,0,23,0,0,0,0,0,-5,177ns,n/a,-9,4.49ms,4.5ms,4.41ms,4.03ms,3.92ms,,,,,,,,,,,18,461b,-123.0,-14.5,1.0,6.0,1.25,10.5,0.0,197.0
2025-06-06 16:45:59.148974,8.1Mbps,339kbps,51,1400,600,0,100,49,0,1,0.0817,0,0,1,12usec,39usec,4.12,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,1,461b,3,1.0,4,8.1Mbps,1181,119,9%,179k,69069,0.9739217,29.6,-10.5,1,27,339kbps,50,0,0%,343,0,50,0,0,0,0,0,-5,189ns,n/a,-9,4.46ms,4.5ms,4.23ms,4.02ms,3.91ms,,,,,,,,,,,18,461b,-123.0,-14.5,1.0,6.0,1.38,11.5,0.0,262.0
2025-06-06 16:46:00.148993,8.5Mbps,332kbps,51,1400,600,0,100,49,0,1,0.0833,0,0,1,12usec,36usec,127.5,4.5ms,4.5ms,4ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4ms,1,461b,3,1.0,5,8.5Mbps,1168,132,10%,226k,69080,0.8369307,29.5,-10.8,1,27,332kbps,49,0,0%,350,0,49,0,0,0,0,0,-5,172ns,n/a,-10,4.47ms,4.5ms,4.26ms,4ms,3.91ms,,,,,,,,,,,18,461b,-123.0,-14.5,0.5,6.0,1.38,11.5,0.0,326.0
2025-06-06 16:46:01.149131,7.9Mbps,339kbps,51,1400,600,0,100,49,0,1,0.0817,0,0,1,12usec,39usec,251.6,4.5ms,4.5ms,4ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4ms,1,461b,3,1.0,4,7.9Mbps,1204,96,7%,283k,68989,1.0389282,29.8,-10.0,1,27,339kbps,50,0,0%,343,0,50,0,0,0,0,0,-5,141ns,n/a,-11,4.47ms,4.5ms,4.29ms,4ms,3.91ms,,,,,,,,,,,18,461b,-124.0,-14.5,0.0,6.0,1.38,11.5,0.0,390.0
