# iperf3 -p 5201 -c 10.45.0.2 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=4150,gain=60,cFreq=3410100000.0,PW=0.0001,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-07-24 11:16:50.356075,51,563,243,0,0,0,0,0,0,0,0,0,1usec,228usec,159.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 11:16:51.355964,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,208.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 11:16:52.356069,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,381.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 11:16:53.355964,51,1400,600,1,0,0,0,0.0129,0.0183,0,0,1,4usec,42usec,498.0,10kbps,58kbps,4.5ms,5.5ms,4.5ms,4ms,0x4601,438.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,15,1.0,8,10kbps,16,1,5%,3,122,-0.008,29.7,-6.3,1,26,58kbps,10,0,0%,96,0,9,0,0,0,0,0,0,411ns,n/a,12,4.55ms,5.5ms,4.35ms,4ms,4.06ms,0,4601,-95.0,-10.5,22.0,,,,,
2025-07-24 11:16:54.356006,51,1400,600,0,0,0,0,0.00286,0.00833,0,0,1,8usec,34usec,596.0,6.0kbps,28kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,21,6.8kbps,5,0,0%,0,8,-0.0039999997,32.8,-7.0,1,27,28kbps,5,0,0%,29,0,4,0,0,0,0,0,0,191ns,n/a,13,4.5ms,4.5ms,4.3ms,n/a,4.17ms,0,4601,-97.0,-10.5,21.5,,,,,
2025-07-24 11:16:55.356138,51,1399,600,0,0,0,1,0.00643,0.107,0,0,1,8usec,32usec,666.16,7.0kbps,999kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,14,1.0,23,7.7kbps,5,4,44%,0,18,,33.9,-7.1,1,27,1000kbps,64,0,0%,1036,2.01k,3,1,0,0,0,0,0,177ns,n/a,8,4.5ms,4.5ms,4.49ms,4.38ms,4.12ms,0,4601,-97.0,-10.5,20.5,,,,,
2025-07-24 11:16:56.355999,51,1400,600,0,0,0,2,0.00214,0.152,0,0,1,8usec,34usec,740.0,4.0kbps,1.5Mbps,4.5ms,4.5ms,,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,n/a,4.5ms,,,,4601,1,14,1.0,23,4.6kbps,3,0,0%,0,6,-0.032000005,33.9,-7.1,1,27,1.5Mbps,91,0,0%,1539,0,0,0,0,0,0,0,0,221ns,n/a,8,4.49ms,4.5ms,4.46ms,4.17ms,n/a,0,4601,-97.0,-10.5,21.5,6.0,1.76,14.7,0.0,116.0
2025-07-24 11:16:57.356119,51,1400,600,0,0,2,0,0.0671,0.0417,0,0,1,8usec,31usec,881.15,2.7Mbps,144kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,14,1.0,26,2.7Mbps,93,0,0%,22.5k,3144,0.004,33.1,-6.9,1,27,145kbps,25,0,0%,149,535,18,0,0,0,0,0,0,212ns,n/a,13,4.5ms,4.5ms,4.38ms,4.08ms,3.97ms,0,4601,-97.0,-10.5,21.5,6.0,6.38,53.5,0.0,409.0
2025-07-24 11:16:58.356028,51,1400,600,0,0,20,0,0.459,0.0917,0,0,1,11usec,35usec,980.3,24Mbps,426kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,26,24Mbps,630,5,0%,72.6k,28628,0.0020000022,32.5,-6.8,1,27,427kbps,54,1,1%,462,0,25,0,0,0,0,0,-0.099000014,219ns,n/a,9,4.49ms,4.5ms,4.4ms,4.12ms,3.96ms,0,4601,-97.0,-10.5,21.5,6.0,7.38,61.9,0.0,749.0
2025-07-24 11:16:59.356046,51,1400,600,0,0,47,0,0.976,0.132,0,0,1,13usec,46usec,46.16,57Mbps,578kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,15,1.0,27,57Mbps,1367,0,0%,385k,67170,0.0020000022,32.9,-6.8,1,27,579kbps,79,0,0%,597,0,19,0,0,0,0,0,-0.099000014,225ns,n/a,11,4.47ms,4.5ms,4.2ms,4.02ms,3.96ms,0,4601,-97.0,-10.5,21.5,6.0,6.0,50.3,0.0,1.06
