time,ue,rnti,h_id,mcs,tbs,nrtx,rv,type
2025-12-05 21:23:46.833348,0,0x4601,0,7,317,0,0,PDSCH
2025-12-05 21:23:46.877395,0,0x4601,0,28,177,0,0,PDSCH
2025-12-05 21:23:46.887896,0,0x4601,0,2,15,0,0,PDSCH
2025-12-05 21:23:46.919863,0,0x4601,0,2,26,0,0,PDSCH
2025-12-05 21:23:46.967936,0,0x4601,0,2,63,0,0,PDSCH
2025-12-05 21:23:46.968394,0,0x4601,1,2,10,0,0,PDSCH
2025-12-05 21:23:46.997893,0,0x4601,1,2,10,0,0,PDSCH
2025-12-05 21:23:47.092822,0,0x4601,1,2,66,0,0,PDSCH
2025-12-05 21:23:47.357862,0,0x4601,1,2,10,0,0,PDSCH
2025-12-05 21:23:47.382878,0,0x4601,1,2,123,0,0,PDSCH
2025-12-05 21:23:47.383356,0,0x4601,0,2,106,0,0,PDSCH
2025-12-05 21:23:47.417383,0,0x4601,0,19,161,0,0,PDSCH
2025-12-05 21:23:47.557414,0,0x4601,0,19,161,0,0,PDSCH
2025-12-05 21:23:47.647358,0,0x4601,0,19,161,0,0,PDSCH
2025-12-05 21:23:47.677430,0,0x4601,0,19,161,0,0,PDSCH
2025-12-05 21:23:47.677908,0,0x4601,1,19,161,0,0,PDSCH
2025-12-05 21:23:47.697405,0,0x4601,1,19,161,0,0,PDSCH
2025-12-05 21:23:47.777436,0,0x4601,1,19,161,0,0,PDSCH
2025-12-05 21:23:47.897401,0,0x4601,1,23,201,0,0,PDSCH
2025-12-05 21:23:47.897851,0,0x4601,0,23,201,0,0,PDSCH
2025-12-05 21:23:48.017432,0,0x4601,0,25,217,0,0,PDSCH
2025-12-05 21:23:48.059948,0,0x4601,0,25,217,0,0,PDSCH
2025-12-05 21:23:48.157330,0,0x4601,0,25,217,0,0,PDSCH
2025-12-05 21:23:48.157936,0,0x4601,1,25,217,0,0,PDSCH
2025-12-05 21:23:48.177398,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.257344,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.377405,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.497366,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.617432,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.667347,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.737348,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.845875,0,0x4601,1,27,111,0,0,PDSCH
2025-12-05 21:23:48.857406,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.867445,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:48.987377,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.060388,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.077349,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.107340,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.227415,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.347370,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.467424,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.587350,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.707417,0,0x4601,1,27,233,0,0,PDSCH
2025-12-05 21:23:49.827344,0,0x4601,1,27,233,0,0,PDSCH
