time                      , log_type, nof_prbs, nof_dl_slots, nof_ul_slots, nof_prach_preambles, error_indications, pdsch_rbs_per_slot, pusch_rbs_per_slot, pdschs_per_slot, puschs_per_slot, failed_pdcch, failed_uci, nof_ues, mean_latency, max_latency, max_latency_slot, total_dl_brate, total_ul_brate, max_crc_delay, max_ce_delay, max_pucch_harq_delay, events, slot  , type     , rnti  , pci, cqi, dl_ri, dl_mcs, dl_brate, dl_nof_ok, dl_nof_nok, dl_error_rate, dl_bs, dl_nof_prbs, dl_olla, pusch_snr_db, pusch_rsrp_db, ul_ri, ul_mcs, ul_brate, ul_nof_ok, ul_nof_nok, ul_error_rate, ul_nof_prbs, bsr, sr_count, f0f1_invalid_harqs, f2f3f4_invalid_harqs, f2f3f4_invalid_csis, pusch_invalid_harqs, pusch_invalid_csis, ul_olla, ta, srs_ta, last_phr, avg_ul_ce_delay, max_ul_ce_delay, avg_crc_delay, avg_pusch_harq_delay, max_pusch_harq_delay, avg_pucch_harq_delay, ue_log_type, ue_nof_prbs, ue_nof_dl_slots, ue_nof_ul_slots, ue_nof_prach_preambles, ue_error_indications, ue_pdsch_rbs_per_slot, ue_pusch_rbs_per_slot, ue_pdschs_per_slot, ue_puschs_per_slot, ue_failed_pdcch, ue_failed_uci, ue_nof_ues, ue_mean_latency, ue_max_latency, ue_max_latency_slot, ue_total_dl_brate, ue_total_ul_brate, ue_max_crc_delay, ue_max_ce_delay, ue_max_pucch_harq_delay, ue_events, ue_slot, ue_type, ue_rnti, ue_pci, ue_cqi, ue_dl_ri, ue_dl_mcs, ue_dl_brate, ue_dl_nof_ok, ue_dl_nof_nok, ue_dl_error_rate, ue_dl_bs, ue_dl_nof_prbs, ue_dl_olla  , ue_pusch_snr_db, ue_pusch_rsrp_db, ue_ul_ri, ue_ul_mcs, ue_ul_brate, ue_ul_nof_ok, ue_ul_nof_nok, ue_ul_error_rate, ue_ul_nof_prbs, ue_bsr, ue_sr_count, ue_f0f1_invalid_harqs, ue_f2f3f4_invalid_harqs, ue_f2f3f4_invalid_csis, ue_pusch_invalid_harqs, ue_pusch_invalid_csis, ue_ul_olla  , ue_ta, ue_srs_ta, ue_last_phr, ue_avg_ul_ce_delay, ue_max_ul_ce_delay, ue_avg_crc_delay, ue_avg_pusch_harq_delay, ue_max_pusch_harq_delay, ue_avg_pucch_harq_delay
2025-07-30 12:02:06.604557, metric  ,       51,          556,          240,                   0,                 0,                  0,                  0,         0      ,          0     ,            0,          0,       0, 1usec       , 211usec    ,           160.5 ,               ,               ,              ,             ,                     ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     ,            ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  ,                 ,                ,                        ,          ,        ,        ,        ,       ,       ,         ,          ,            ,             ,              ,                 ,         ,               ,             ,                ,                 ,         ,          ,            ,             ,              ,                 ,               ,       ,            ,                      ,                        ,                       ,                       ,                      ,             ,      ,          ,            ,                   ,                   ,                 ,                        ,                        , 
2025-07-30 12:02:07.604699, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0      ,          0     ,            0,          0,       0, 3usec       , 15usec     ,           207.3 ,               ,               ,              ,             ,                     ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     ,            ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  ,                 ,                ,                        ,          ,        ,        ,        ,       ,       ,         ,          ,            ,             ,              ,                 ,         ,               ,             ,                ,                 ,         ,          ,            ,             ,              ,                 ,               ,       ,            ,                      ,                        ,                       ,                       ,                      ,             ,      ,          ,            ,                   ,                   ,                 ,                        ,                        , 
2025-07-30 12:02:08.604563, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0      ,          0     ,            0,          0,       0, 3usec       , 21usec     ,           330.5 ,               ,               ,              ,             ,                     ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     ,            ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  ,                 ,                ,                        ,          ,        ,        ,        ,       ,       ,         ,          ,            ,             ,              ,                 ,         ,               ,             ,                ,                 ,         ,          ,            ,             ,              ,                 ,               ,       ,            ,                      ,                        ,                       ,                       ,                      ,             ,      ,          ,            ,                   ,                   ,                 ,                        ,                        , 
2025-07-30 12:02:09.604671, metric  ,       51,         1400,          600,                   1,                 0,                  0,                  0,         0.0129 ,          0.0217,            0,          0,       1, 5usec       , 39usec     ,           428.0 , 13kbps        , 70kbps        , 4.5ms        , 5.5ms       , 4.5ms               , 0x4601, 423.8 , ue_create, 0x4601,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     13,      1.0,         8, 14kbps     ,           18,             0, 0%              , 0       ,            122, 0.003       ,            29.9, -2.5            ,        1,        26, 71kbps     ,           12,             0, 0%              ,            107, 0     ,          10,                     0,                       0,                      0,                      0,                     0, 0           , 197ns, n/a      , 23         , 4.58ms            , 5.5ms             , 4.46ms          , n/a                    , n/a                    , 4.05ms
2025-07-30 12:02:10.604741, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00857,          0.04  ,            0,          0,       1, 8usec       , 32usec     ,           520.0 , 20kbps        , 264kbps       , 4.5ms        , 4.5ms       , 4ms                 ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4ms                    ,          ,        ,        ,    4601,      1,     14,      1.0,        25, 21kbps     ,           12,             0, 0%              , 0       ,             24, 0.011000001 ,            31.7, -2.8            ,        1,        27, 264kbps    ,           23,             1, 4%              ,            296, 2.01k ,          10,                     0,                       0,                      0,                      0,                     0, -0.099000014, 213ns, n/a      , 19         , 4.5ms             , 4.5ms             , 4.44ms          , 4.5ms                  , 4.5ms                  , 4ms
2025-07-30 12:02:11.604726, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  2,         0.00929,          0.167 ,            0,          0,       1, 9usec       , 37usec     ,           643.0 , 22kbps        , 1.6Mbps       , 4.5ms        , 4.5ms       , 4ms                 ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4ms                    ,          ,        ,        ,    4601,      1,     15,      1.0,        27, 22kbps     ,           12,             0, 0%              , 3       ,             26, 0.011000001 ,            31.9, -2.8            ,        1,        27, 1.6Mbps    ,          100,             0, 0%              ,           1668, 1.53k ,           0,                     0,                       0,                      0,                      0,                     0, -0.099000014, 233ns, n/a      , 19         , 4.5ms             , 4.5ms             , 4.48ms          , 4.23ms                 , 4.5ms                  , 4ms
2025-07-30 12:02:12.604696, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  2,         0.00929,          0.167 ,            0,          0,       1, 9usec       , 32usec     ,           773.0 , 26kbps        , 1.6Mbps       , 4.5ms        , 4.5ms       ,                     ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , n/a                    ,          ,        ,        ,    4601,      1,     15,      1.0,        27, 26kbps     ,           14,             0, 0%              , 0       ,             26, 0.011000001 ,            31.9, -2.8            ,        1,        27, 1.6Mbps    ,          100,             0, 0%              ,           1664, 2.01k ,           0,                     0,                       0,                      0,                      0,                     0, -0.099000014, 240ns, n/a      , 19         , 4.49ms            , 4.5ms             , 4.47ms          , 4.21ms                 , 4.5ms                  , n/a
2025-07-30 12:02:13.604619, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  2,         0.01   ,          0.167 ,            0,          0,       1, 9usec       , 35usec     ,           804.3 , 26kbps        , 1.6Mbps       , 4.5ms        , 4.5ms       ,                     ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , n/a                    ,          ,        ,        ,    4601,      1,     15,      1.0,        27, 26kbps     ,           14,             0, 0%              , 0       ,             28, 0.011000001 ,            32.0, -2.9            ,        1,        27, 1.6Mbps    ,          100,             0, 0%              ,           1668, 2.01k ,           0,                     0,                       0,                      0,                      0,                     0, -0.099000014, 204ns, n/a      , 19         , 4.5ms             , 4.5ms             , 4.49ms          , 4.23ms                 , 4.5ms                  , n/a
2025-07-30 12:02:14.604755, metric  ,       51,         1400,          600,                   0,                 0,                  7,                  2,         0.174  ,          0.167 ,            0,          0,       1, 10usec      , 46usec     ,           994.16, 8.7Mbps       , 1.6Mbps       , 4.5ms        , 4.5ms       , 4ms                 ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4ms                    ,          ,        ,        ,    4601,      1,     15,      1.0,        27, 8.7Mbps    ,          230,             4, 1%              , 204k    ,          10866, 0.0070000025,            32.2, -2.9            ,        1,        27, 1.6Mbps    ,          100,             0, 0%              ,           1668, 2.01k ,           0,                     0,                       0,                      0,                      0,                     0, -0.099000014, 167ns, n/a      , 18         , 4.5ms             , 4.5ms             , 4.47ms          , 4.09ms                 , 4.5ms                  , 3.95ms
2025-07-30 12:02:15.604720, metric  ,       51,         1400,          600,                   0,                 0,                 40,                  2,         0.869  ,          0.167 ,            0,          0,       1, 15usec      , 44usec     ,             1.16, 48Mbps        , 1.6Mbps       , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     15,      1.0,        27, 48Mbps     ,         1216,             1, 0%              , 90.1k   ,          56977, 0.008000003 ,            32.2, -3.1            ,        1,        27, 1.6Mbps    ,          100,             0, 0%              ,           1664, 2.01k ,           0,                     0,                       0,                      0,                      0,                     0, -0.099000014, 176ns, n/a      , 18         , 4.5ms             , 4.5ms             , 4.43ms          , 4.05ms                 , 4.5ms                  , 3.97ms
