time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-07-30 15:21:44.699158,CSI,0x4601,2,"[7,",na,"[4,",2222,-2.7dB,26.0us,"[0,",1,1,262.8,normal,0,invalid,-39.0dB,-44.3dB,1.04us,+12002.7Hz,,,,,,
2025-07-30 15:21:44.703830,PHY,0x4601,1,,50,"[0,",,+18.9dB,19.4us,"[0,",1,,262.17,normal,0,valid,-15.9dB,-15.6dB,na,na,0,0,0,1,1143.6,
2025-07-30 15:21:44.718822,PHY,0x4601,1,,na,"[0,",,+19.4dB,18.2us,"[0,",1,,264.7,normal,0,valid,-13.8dB,-13.8dB,na,na,4,0,0,,2311.5,yes
2025-07-30 15:21:44.719052,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.3dB,16.8us,"[0,",1,1,264.8,normal,0,valid,-12.1dB,-12.1dB,0.18us,-90.9Hz,,,,,,
2025-07-30 15:21:44.738891,PHY,0x4601,1,,na,"[0,",,-28.9dB,21.7us,"[0,",1,,266.7,normal,0,invalid,-43.6dB,-73.0dB,na,na,4,0,0,2,0.3,
2025-07-30 15:21:44.738912,PHY,0x4601,1,,na,"[0,",,+18.9dB,11.4us,"[0,",1,,266.7,normal,0,valid,-14.0dB,-14.0dB,na,na,0,0,0,1,2095.5,
2025-07-30 15:21:44.739031,CSI,0x4601,2,"[7,",na,"[4,",1111,+28.9dB,23.5us,"[0,",1,1,266.8,normal,0,valid,-12.0dB,-12.0dB,0.19us,-53.9Hz,,,,,,
2025-07-30 15:21:44.743844,PHY,0x4601,1,,na,"[0,",,+16.4dB,16.9us,"[0,",1,,266.17,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,1152.3,
2025-07-30 15:21:44.758842,PHY,0x4601,1,,na,"[0,",,+16.4dB,17.4us,"[0,",1,,268.7,normal,0,valid,-13.8dB,-13.9dB,na,na,4,0,0,,1174.6,yes
2025-07-30 15:21:44.759105,CSI,0x4601,2,"[7,",na,"[4,",1111,+35.5dB,16.0us,"[0,",1,1,268.8,normal,0,valid,-12.2dB,-12.2dB,0.21us,-12.7Hz,,,,,,
2025-07-30 15:21:44.778800,PHY,0x4601,1,,na,"[0,",,+16.7dB,15.4us,"[0,",1,,270.7,normal,0,valid,-10.8dB,-10.9dB,na,na,4,0,0,11,1247.3,
2025-07-30 15:21:44.778825,PHY,0x4601,1,,na,"[0,",,-16.7dB,20.9us,"[0,",1,,270.7,normal,0,invalid,-44.0dB,-61.6dB,na,na,0,0,0,22,0.3,
2025-07-30 15:21:44.779072,CSI,0x4601,2,"[7,",na,"[4,",1111,+35.1dB,13.8us,"[0,",1,1,270.8,normal,0,valid,-12.1dB,-12.2dB,0.23us,+13.2Hz,,,,,,
2025-07-30 15:21:44.779859,PHY,0x4601,1,,na,"[0,",,+16.1dB,18.0us,"[0,",1,,270.9,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,1083.1,
2025-07-30 15:21:44.798856,PHY,0x4601,1,,na,"[0,",,+16.4dB,15.6us,"[0,",1,,272.7,normal,0,valid,-13.7dB,-13.8dB,na,na,4,0,0,,1158.3,yes
2025-07-30 15:21:44.799134,CSI,0x4601,2,"[7,",na,"[4,",1111,+29.8dB,14.0us,"[0,",1,1,272.8,normal,0,valid,-12.0dB,-12.1dB,0.21us,-64.8Hz,,,,,,
2025-07-30 15:21:44.819092,CSI,0x4601,2,"[7,",na,"[4,",1111,+34.6dB,15.9us,"[0,",1,1,274.8,normal,0,valid,-12.1dB,-12.2dB,0.22us,-29.9Hz,,,,,,
2025-07-30 15:21:44.828403,PHY,0x4601,2,"[6,",na,"[0,",,+28.1dB,35.1us,"[0,",1,1,275.7,normal,0,valid,-13.1dB,-13.2dB,0.24us,-42.7Hz,,,,111,,
2025-07-30 15:21:44.838886,PHY,0x4601,1,,na,"[0,",,+16.4dB,22.8us,"[0,",1,,276.7,normal,0,valid,-14.1dB,-14.2dB,na,na,4,0,0,,1164.0,yes
2025-07-30 15:21:44.839025,CSI,0x4601,2,"[7,",na,"[4,",1111,+30.5dB,23.1us,"[0,",1,1,276.8,normal,0,valid,-12.5dB,-12.5dB,0.22us,-70.1Hz,,,,,,
2025-07-30 15:21:44.858834,PHY,0x4601,1,,na,"[0,",,-18.4dB,18.1us,"[0,",1,,278.7,normal,0,invalid,-43.1dB,-62.2dB,na,na,4,0,0,2,0.2,
2025-07-30 15:21:44.858850,PHY,0x4601,1,,na,"[0,",,+16.3dB,11.8us,"[0,",1,,278.7,normal,0,valid,-14.3dB,-14.4dB,na,na,0,0,0,1,1132.7,
2025-07-30 15:21:44.859112,CSI,0x4601,2,"[7,",na,"[4,",1111,+26.9dB,16.5us,"[0,",1,1,278.8,normal,0,valid,-12.5dB,-12.6dB,0.22us,-13.9Hz,,,,,,
2025-07-30 15:21:44.878786,PHY,0x4601,1,,na,"[0,",,-16.2dB,16.3us,"[0,",1,,280.7,normal,0,invalid,-43.0dB,-60.8dB,na,na,4,0,0,,0.4,no
2025-07-30 15:21:44.879052,CSI,0x4601,2,"[7,",na,"[4,",1111,+28.9dB,14.8us,"[0,",1,1,280.8,normal,0,valid,-12.3dB,-12.4dB,0.21us,-30.8Hz,,,,,,
2025-07-30 15:21:44.898847,PHY,0x4601,1,,na,"[0,",,-13.6dB,15.3us,"[0,",1,,282.7,normal,0,invalid,-43.3dB,-57.6dB,na,na,4,0,0,,0.6,no
2025-07-30 15:21:44.899081,CSI,0x4601,2,"[7,",na,"[4,",1111,+30.2dB,14.2us,"[0,",1,1,282.8,normal,0,valid,-12.2dB,-12.2dB,0.21us,-265.0Hz,,,,,,
2025-07-30 15:21:44.918808,PHY,0x4601,1,,na,"[0,",,-18.8dB,15.9us,"[0,",1,,284.7,normal,0,invalid,-43.3dB,-63.2dB,na,na,4,0,0,,0.9,no
2025-07-30 15:21:44.919087,CSI,0x4601,2,"[7,",na,"[4,",1111,+34.5dB,12.7us,"[0,",1,1,284.8,normal,0,valid,-12.5dB,-12.5dB,0.21us,-125.5Hz,,,,,,
2025-07-30 15:21:44.938869,PHY,0x4601,1,,na,"[0,",,-13.3dB,14.8us,"[0,",1,,286.7,normal,0,invalid,-43.4dB,-57.8dB,na,na,4,0,0,,0.5,no
2025-07-30 15:21:44.939140,CSI,0x4601,2,"[7,",na,"[4,",1111,+31.9dB,12.3us,"[0,",1,1,286.8,normal,0,valid,-12.5dB,-12.6dB,0.22us,-61.9Hz,,,,,,
2025-07-30 15:21:44.948443,PHY,0x4601,2,"[6,",na,"[0,",,+34.4dB,14.6us,"[0,",1,1,287.7,normal,0,valid,-13.6dB,-13.6dB,0.21us,-207.2Hz,,,,111,,
2025-07-30 15:21:44.958826,PHY,0x4601,1,,na,"[0,",,+16.3dB,15.1us,"[0,",1,,288.7,normal,0,valid,-14.1dB,-14.2dB,na,na,4,0,0,,1144.0,yes
2025-07-30 15:21:44.959071,CSI,0x4601,2,"[7,",na,"[4,",1111,+33.1dB,12.3us,"[0,",1,1,288.8,normal,0,valid,-12.4dB,-12.4dB,0.23us,-36.8Hz,,,,,,
2025-07-30 15:21:44.978898,PHY,0x4601,1,,na,"[0,",,-21.7dB,23.8us,"[0,",1,,290.7,normal,0,invalid,-43.7dB,-66.1dB,na,na,4,0,0,,0.1,no
2025-07-30 15:21:44.979038,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.4dB,20.1us,"[0,",1,1,290.8,normal,0,valid,-12.3dB,-12.4dB,0.24us,+43.7Hz,,,,,,
2025-07-30 15:21:44.998843,PHY,0x4601,1,,na,"[0,",,-17.4dB,14.6us,"[0,",1,,292.7,normal,0,invalid,-43.7dB,-62.5dB,na,na,4,0,0,,0.3,no
2025-07-30 15:21:44.999117,CSI,0x4601,2,"[7,",na,"[4,",1111,+32.4dB,12.0us,"[0,",1,1,292.8,normal,0,valid,-12.4dB,-12.5dB,0.21us,-104.8Hz,,,,,,
2025-07-30 15:21:45.018800,PHY,0x4601,1,,na,"[0,",,-16.7dB,15.0us,"[0,",1,,294.7,normal,0,invalid,-43.4dB,-60.6dB,na,na,4,0,0,,0.6,no
2025-07-30 15:21:45.019083,CSI,0x4601,2,"[7,",na,"[4,",1111,+33.0dB,18.9us,"[0,",1,1,294.8,normal,0,valid,-12.3dB,-12.3dB,0.21us,-121.5Hz,,,,,,
