time,log_type,rnti,format,prb1,prb2,symb,cs,occ,sr,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb,csi1,n_id0,ack
2025-07-30 16:05:45.838724,PHY,0x4601,1,4,na,"[0,",0,0,no,0.4,-14.7dB,20.8us,"[0,",1,472.7,normal,0,invalid,-42.8dB,-58.6dB,na,na,,,,
2025-07-30 16:05:45.839010,CSI,0x4601,2,,na,"[4,",,,,,-3.8dB,25.8us,"[0,",1,472.8,normal,0,invalid,-41.7dB,-48.7dB,-1.13us,+5630.6Hz,"[7,",2222,1,
2025-07-30 16:05:45.843682,PHY,0x4601,1,0,50,"[0,",0,0,,5007.4,+25.3dB,18.5us,"[0,",1,472.17,normal,0,valid,-15.8dB,-15.5dB,na,na,,,,1
2025-07-30 16:05:45.858674,PHY,0x4601,1,4,na,"[0,",0,0,yes,8023.6,+24.8dB,15.9us,"[0,",1,474.7,normal,0,valid,-13.7dB,-13.7dB,na,na,,,,
2025-07-30 16:05:45.858940,CSI,0x4601,2,,na,"[4,",,,,,+29.5dB,15.1us,"[0,",1,474.8,normal,0,valid,-12.0dB,-12.0dB,-0.05us,-90.2Hz,"[7,",1111,1,
2025-07-30 16:05:45.878746,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-20.2dB,19.6us,"[0,",1,476.7,normal,0,invalid,-43.3dB,-64.2dB,na,na,,,,2
2025-07-30 16:05:45.878773,PHY,0x4601,1,0,na,"[0,",0,0,,9937.0,+25.7dB,18.3us,"[0,",1,476.7,normal,0,valid,-13.9dB,-14.0dB,na,na,,,,1
2025-07-30 16:05:45.879026,CSI,0x4601,2,,na,"[4,",,,,,+33.0dB,24.5us,"[0,",1,476.8,normal,0,valid,-12.0dB,-12.0dB,-0.04us,-80.6Hz,"[7,",1111,1,
2025-07-30 16:05:45.883700,PHY,0x4601,1,0,na,"[0,",0,0,,1361.8,+17.1dB,17.9us,"[0,",1,476.17,normal,0,valid,-11.0dB,-11.1dB,na,na,,,,11
2025-07-30 16:05:45.898705,PHY,0x4601,1,4,na,"[0,",0,0,yes,1360.1,+17.1dB,19.0us,"[0,",1,478.7,normal,0,valid,-13.7dB,-13.8dB,na,na,,,,
2025-07-30 16:05:45.898919,CSI,0x4601,2,,na,"[4,",,,,,+29.1dB,13.8us,"[0,",1,478.8,normal,0,valid,-12.1dB,-12.1dB,0.20us,+21.7Hz,"[7,",1111,1,
2025-07-30 16:05:45.918758,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-15.0dB,15.1us,"[0,",1,480.7,normal,0,invalid,-43.4dB,-59.2dB,na,na,,,,2
2025-07-30 16:05:45.918773,PHY,0x4601,1,0,na,"[0,",0,0,,1268.3,+16.8dB,11.6us,"[0,",1,480.7,normal,0,valid,-13.9dB,-14.0dB,na,na,,,,1
2025-07-30 16:05:45.918879,CSI,0x4601,2,,na,"[4,",,,,,+29.9dB,14.2us,"[0,",1,480.8,normal,0,valid,-12.0dB,-12.0dB,0.19us,-39.4Hz,"[7,",1111,1,
2025-07-30 16:05:45.919723,PHY,0x4601,1,0,na,"[0,",0,0,,1312.4,+16.9dB,33.4us,"[0,",1,480.9,normal,0,valid,-13.9dB,-14.0dB,na,na,,,,1
2025-07-30 16:05:45.938708,PHY,0x4601,1,4,na,"[0,",0,0,yes,1400.4,+17.2dB,15.3us,"[0,",1,482.7,normal,0,valid,-13.7dB,-13.8dB,na,na,,,,
2025-07-30 16:05:45.938941,CSI,0x4601,2,,na,"[4,",,,,,+29.6dB,12.3us,"[0,",1,482.8,normal,0,valid,-11.9dB,-12.0dB,0.20us,-173.9Hz,"[7,",1111,1,
2025-07-30 16:05:45.958945,CSI,0x4601,2,,na,"[4,",,,,,+32.1dB,15.8us,"[0,",1,484.8,normal,0,valid,-12.1dB,-12.1dB,0.21us,-57.4Hz,"[7,",1111,1,
2025-07-30 16:05:45.968351,PHY,0x4601,2,,na,"[0,",,,,,+28.5dB,20.5us,"[0,",1,485.7,normal,0,valid,-13.1dB,-13.1dB,0.22us,-183.5Hz,"[6,",,1,111
2025-07-30 16:05:45.978729,PHY,0x4601,1,4,na,"[0,",0,0,yes,1419.7,+17.3dB,16.7us,"[0,",1,486.7,normal,0,valid,-14.0dB,-14.0dB,na,na,,,,
2025-07-30 16:05:45.978999,CSI,0x4601,2,,na,"[4,",,,,,+33.3dB,18.9us,"[0,",1,486.8,normal,0,valid,-12.4dB,-12.5dB,0.20us,-188.5Hz,"[7,",1111,1,
2025-07-30 16:05:45.998695,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-22.5dB,15.3us,"[0,",1,488.7,normal,0,invalid,-43.0dB,-66.5dB,na,na,,,,2
2025-07-30 16:05:45.998710,PHY,0x4601,1,0,na,"[0,",0,0,,1325.8,+17.0dB,11.6us,"[0,",1,488.7,normal,0,valid,-14.2dB,-14.3dB,na,na,,,,1
2025-07-30 16:05:45.998925,CSI,0x4601,2,,na,"[4,",,,,,+29.9dB,13.2us,"[0,",1,488.8,normal,0,valid,-12.3dB,-12.4dB,0.20us,-107.8Hz,"[7,",1111,1,
2025-07-30 16:05:46.018746,PHY,0x4601,1,4,na,"[0,",0,0,no,0.1,-21.8dB,16.5us,"[0,",1,490.7,normal,0,invalid,-43.4dB,-66.1dB,na,na,,,,
2025-07-30 16:05:46.019022,CSI,0x4601,2,,na,"[4,",,,,,+30.3dB,15.0us,"[0,",1,490.8,normal,0,valid,-12.2dB,-12.2dB,0.20us,-28.1Hz,"[7,",1111,1,
2025-07-30 16:05:46.038710,PHY,0x4601,1,4,na,"[0,",0,0,no,0.2,-18.9dB,15.3us,"[0,",1,492.7,normal,0,invalid,-42.3dB,-61.8dB,na,na,,,,
2025-07-30 16:05:46.038980,CSI,0x4601,2,,na,"[4,",,,,,+30.5dB,12.9us,"[0,",1,492.8,normal,0,valid,-12.3dB,-12.3dB,0.20us,-132.2Hz,"[7,",1111,1,
2025-07-30 16:05:46.058766,PHY,0x4601,1,4,na,"[0,",0,0,no,0.1,-22.5dB,14.3us,"[0,",1,494.7,normal,0,invalid,-43.0dB,-65.5dB,na,na,,,,
2025-07-30 16:05:46.058885,CSI,0x4601,2,,na,"[4,",,,,,+33.2dB,12.1us,"[0,",1,494.8,normal,0,valid,-12.3dB,-12.3dB,0.20us,-57.6Hz,"[7,",1111,1,
2025-07-30 16:05:46.078719,PHY,0x4601,1,4,na,"[0,",0,0,no,0.3,-21.9dB,14.2us,"[0,",1,496.7,normal,0,invalid,-43.2dB,-65.0dB,na,na,,,,
2025-07-30 16:05:46.078951,CSI,0x4601,2,,na,"[4,",,,,,+32.4dB,11.8us,"[0,",1,496.8,normal,0,valid,-12.3dB,-12.4dB,0.19us,-92.5Hz,"[7,",1111,1,
2025-07-30 16:05:46.088751,PHY,0x4601,1,0,na,"[0,",0,0,,1398.9,+17.2dB,15.0us,"[0,",1,497.7,normal,0,valid,-14.2dB,-14.3dB,na,na,,,,1
2025-07-30 16:05:46.098667,PHY,0x4601,1,4,na,"[0,",0,0,yes,1466.5,+17.4dB,14.0us,"[0,",1,498.7,normal,0,valid,-14.0dB,-14.0dB,na,na,,,,
2025-07-30 16:05:46.098945,CSI,0x4601,2,,na,"[4,",,,,,+31.2dB,14.1us,"[0,",1,498.8,normal,0,valid,-12.3dB,-12.4dB,0.19us,-88.7Hz,"[7,",1111,1,
2025-07-30 16:05:46.118739,PHY,0x4601,1,4,na,"[0,",0,0,no,0.4,-14.3dB,21.6us,"[0,",1,500.7,normal,0,invalid,-43.0dB,-58.1dB,na,na,,,,
2025-07-30 16:05:46.119008,CSI,0x4601,2,,na,"[4,",,,,,+32.0dB,20.8us,"[0,",1,500.8,normal,0,valid,-12.3dB,-12.4dB,0.19us,+34.8Hz,"[7,",1111,1,
2025-07-30 16:05:46.138689,PHY,0x4601,1,4,na,"[0,",0,0,no,0.1,-24.5dB,14.9us,"[0,",1,502.7,normal,0,invalid,-43.1dB,-68.8dB,na,na,,,,
2025-07-30 16:05:46.138950,CSI,0x4601,2,,na,"[4,",,,,,+33.1dB,13.7us,"[0,",1,502.8,normal,0,valid,-12.3dB,-12.4dB,0.21us,-121.1Hz,"[7,",1111,1,
2025-07-30 16:05:46.158752,PHY,0x4601,1,4,na,"[0,",0,0,no,0.1,-29.2dB,14.6us,"[0,",1,504.7,normal,0,invalid,-43.7dB,-73.3dB,na,na,,,,
2025-07-30 16:05:46.158903,CSI,0x4601,2,,na,"[4,",,,,,+31.1dB,19.2us,"[0,",1,504.8,normal,0,valid,-12.3dB,-12.3dB,0.21us,-108.8Hz,"[7,",1111,1,
2025-07-30 16:05:46.178714,PHY,0x4601,1,4,na,"[0,",0,0,no,0.4,-17.3dB,16.0us,"[0,",1,506.7,normal,0,invalid,-42.9dB,-61.5dB,na,na,,,,
2025-07-30 16:05:46.178965,CSI,0x4601,2,,na,"[4,",,,,,+32.9dB,11.3us,"[0,",1,506.8,normal,0,valid,-12.3dB,-12.3dB,0.18us,-55.1Hz,"[7,",1111,1,
