time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,events,slot,type,rnti,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_events,ue_slot,ue_type,ue_rnti,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-30 19:39:47.713559,metric,51,560,240,0,0,0,0,0,0,0,0,0,1usec,222usec,160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 19:39:48.713617,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,286.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 19:39:49.713496,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,385.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 19:39:50.713579,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,414.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 19:39:51.713648,metric,51,1400,600,1,0,0,0,0.0107,0.00333,0,0,0,4usec,31usec,586.0,0x4601,582.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 19:39:52.713543,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,607.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 19:39:53.713570,metric,51,1400,600,1,0,0,0,0.0136,0.0217,0,0,1,6usec,33usec,772.2,0x4602,711.7,ue_create,0x4602,15kbps,70kbps,4.5ms,5.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4.5ms,1,13,1.0,9,15kbps,19,0,0%,0,124,0.003,30.0,-3.5,1,26,71kbps,12,0,0%,107,0,10,0,0,0,0,0,0,201ns,n/a,24,4.58ms,5.5ms,4.46ms,n/a,n/a,4.12ms
2025-07-30 19:39:54.713609,metric,51,1400,600,0,0,0,2,0.0107,0.148,0,0,1,9usec,32usec,805.5,,,,,25kbps,1.4Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4ms,1,14,1.0,25,25kbps,15,0,0%,0,30,0.012000001,32.5,-3.7,1,27,1.4Mbps,89,0,0%,1445,2.01k,10,0,0,0,0,0,0,221ns,n/a,19,4.5ms,4.5ms,4.46ms,4.14ms,4.5ms,4ms
2025-07-30 19:39:55.713622,metric,51,1400,600,0,0,0,2,0.00714,0.167,0,0,1,9usec,37usec,905.6,,,,,17kbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4ms,1,15,1.0,27,18kbps,10,0,0%,0,20,0.012000001,32.5,-3.7,1,27,1.6Mbps,100,0,0%,1668,2.01k,5,0,0,0,0,0,0,230ns,n/a,19,4.5ms,4.5ms,4.47ms,4.28ms,4.5ms,4ms
2025-07-30 19:39:56.713742,metric,51,1400,600,0,0,1,2,0.0571,0.167,0,0,1,9usec,47usec,75.16,,,,,2.0Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,,4602,,,4.5ms,,4ms,1,15,1.0,27,2.0Mbps,71,0,0%,151k,2725,0.012000001,32.5,-3.8,1,27,1.6Mbps,100,0,0%,1668,2.01k,1,0,0,0,0,0,0,233ns,n/a,20,4.5ms,4.5ms,4.47ms,4.14ms,4.5ms,4ms
