time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-30 19:56:58.074825,metric,51,558,240,0,0,0,0,0,0,0,0,0,1usec,228usec,160.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 19:56:59.074806,metric,51,1400,600,1,0,0,0,0.00143,0.00333,0,0,1,3usec,36usec,300.0,2.0kbps,4.0kbps,4.5ms,4.5ms,4ms,0x4601,295.8,ue_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,8,1.0,18,2.5kbps,1,0,0%,3,25,0,23.9,-4.0,1,9,4.2kbps,1,0,0%,24,0,1,0,0,0,0,0,0,147ns,n/a,21,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms
2025-07-30 19:57:00.074756,metric,51,1400,600,0,0,0,0,0.0143,0.0267,0,0,1,6usec,41usec,348.0,16kbps,90kbps,4.5ms,5.5ms,4.5ms,0x4601,300.11,ue_reconf,,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,13,1.0,10,17kbps,21,0,0%,0,105,0.008,30.7,-3.4,1,28,90kbps,16,0,0%,109,0,14,0,0,0,0,0,0,217ns,n/a,24,4.56ms,5.5ms,4.31ms,n/a,n/a,4.1ms
2025-07-30 19:57:01.074789,metric,51,1400,600,0,0,0,1,0.01,0.11,0,0,1,8usec,43usec,454.0,25kbps,1.0Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,15,1.0,27,26kbps,14,0,0%,0,28,0.011000001,32.4,-3.7,1,27,1.0Mbps,66,0,0%,1054,2.01k,4,0,0,0,0,0,0,236ns,n/a,19,4.49ms,4.5ms,4.45ms,4.2ms,4.5ms,4ms
2025-07-30 19:57:02.074745,metric,51,1400,600,0,0,0,2,0.00714,0.167,0,0,1,9usec,37usec,528.16,17kbps,1.6Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,15,1.0,27,18kbps,10,0,0%,0,20,0.011000001,32.4,-3.7,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,0,244ns,n/a,19,4.5ms,4.5ms,4.48ms,4.15ms,4.5ms,n/a
2025-07-30 19:57:03.074759,metric,51,1400,600,0,0,0,2,0.0214,0.167,0,0,1,9usec,33usec,635.3,162kbps,1.6Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,15,1.0,27,163kbps,30,0,0%,0,177,0.011000001,32.6,-3.7,1,27,1.6Mbps,100,0,0%,1664,2.01k,0,0,0,0,0,0,0,175ns,n/a,19,4.5ms,4.5ms,4.47ms,4.18ms,4.5ms,n/a
2025-07-30 19:57:04.074690,metric,51,1400,600,0,0,47,2,0.96,0.167,0,0,1,15usec,58usec,711.5,55Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,15,1.0,27,55Mbps,1335,0,0%,557k,66042,0.011000001,32.6,-3.7,1,27,1.6Mbps,100,0,0%,1669,2.01k,0,0,0,0,0,0,0,170ns,n/a,19,4.5ms,4.5ms,4.41ms,4.06ms,4.5ms,3.95ms
2025-07-30 19:57:05.074836,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,47usec,883.16,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,58Mbps,1400,0,0%,928k,69006,0.011000001,32.4,-3.7,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,0,178ns,n/a,19,4.5ms,4.5ms,4.41ms,4.03ms,4.5ms,3.96ms
2025-07-30 19:57:06.074729,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,44usec,922.5,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,58Mbps,1400,0,0%,1.28M,68988,0.011000001,32.5,-3.7,1,27,1.6Mbps,100,0,0%,1664,2.01k,0,0,0,0,0,0,0,209ns,n/a,19,4.49ms,4.5ms,4.43ms,4.06ms,4.5ms,3.96ms
2025-07-30 19:57:07.074792,metric,51,1400,600,0,0,49,3,1,0.168,0,0,1,15usec,40usec,1001.16,58Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,15,1.0,27,58Mbps,1400,0,0%,1.64M,69016,0.011000001,29.9,-3.8,1,26,1.6Mbps,100,1,0%,1834,2.01k,0,0,0,0,0,0,-0.083999984,214ns,n/a,19,4.49ms,4.5ms,4.4ms,4.06ms,4.5ms,3.96ms
2025-07-30 19:57:08.074901,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,16usec,201usec,163.8,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,58Mbps,1400,0,0%,2.01M,69016,0.011000001,32.5,-3.8,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,-0.083999984,223ns,n/a,19,4.49ms,4.5ms,4.45ms,4.05ms,4.5ms,3.97ms
2025-07-30 19:57:09.074778,metric,51,1400,598,0,0,49,2,0.999,0.167,0,0,1,16usec,44usec,199.16,57Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,57Mbps,1382,16,1%,2.37M,68855,0.0049999743,32.2,-3.9,1,27,1.6Mbps,98,2,2%,1664,2.01k,0,0,2,1,0,0,-0.282,219ns,n/a,20,4.49ms,4.5ms,4.46ms,4.05ms,4.5ms,3.95ms
2025-07-30 19:57:10.074812,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,16usec,54usec,340.5,58Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,15,1.0,27,58Mbps,1399,1,0%,2.48M,69016,0.007999975,32.3,-3.6,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,-0.282,234ns,n/a,19,4.5ms,4.5ms,4.46ms,4.09ms,4.5ms,3.96ms
2025-07-30 19:57:11.074783,metric,51,1400,600,0,0,49,14,1,0.55,0,0,1,16usec,43usec,382.16,50Mbps,841kbps,5ms,5.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,5ms,,4ms,,,,1,4601,15,1.0,25,50Mbps,1265,135,9%,1M,68932,-0.2910029,0.8,-5.6,1,4,842kbps,176,151,46%,8798,10.6k,0,4,1,0,6,0,-1.735994,225ns,n/a,24,4.5ms,5.5ms,4.43ms,4.04ms,4.5ms,3.95ms
2025-07-30 19:57:12.074930,metric,51,1400,600,0,0,48,28,0.985,1,0,0,1,17usec,50usec,498.16,43Mbps,304kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,14,1.0,23,43Mbps,1179,200,14%,102k,67242,-0.80900323,-2.8,-5.5,1,1,304kbps,291,309,51%,17200,28.6k,0,0,0,0,31,17,-4.818013,166ns,n/a,19,4.48ms,4.5ms,4.43ms,4.04ms,4.5ms,n/a
2025-07-30 19:57:13.074836,metric,51,1400,600,0,0,38,28,0.796,1,0,0,1,16usec,47usec,668.6,31Mbps,323kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,21,31Mbps,992,123,11%,43.9k,53720,-1.0219874,-3.1,-5.4,1,0,323kbps,342,258,43%,17340,28.6k,0,0,0,0,20,4,-4.8000145,179ns,n/a,24,4.43ms,4.5ms,4.43ms,4.05ms,4.5ms,n/a
2025-07-30 19:57:14.074816,metric,51,1400,600,0,0,35,28,0.751,1,0,0,1,16usec,40usec,683.6,27Mbps,312kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,21,27Mbps,896,161,15%,0,49920,-1.3849763,-2.6,-5.4,1,0,312kbps,300,300,50%,17120,20.5k,0,0,0,0,31,9,-4.9100065,186ns,n/a,19,4.44ms,4.5ms,4.44ms,4.04ms,4.5ms,n/a
2025-07-30 19:57:15.074777,metric,51,1400,600,0,0,35,28,0.744,1,0,0,1,16usec,47usec,852.6,27Mbps,316kbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,13,1.0,20,27Mbps,934,106,10%,0,49475,,-3.4,-5.4,1,0,317kbps,339,261,43%,17280,28.6k,0,0,0,0,17,19,-4.8830085,200ns,n/a,24,4.43ms,4.5ms,4.42ms,4.04ms,4.5ms,n/a
