time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-30 21:39:27.115797,metric,51,560,240,0,0,0,0,0,0,0,0,0,1usec,232usec,160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 21:39:28.115928,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,238.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 21:39:29.115769,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,360.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 21:39:30.115853,metric,51,1400,600,1,0,0,0,0.00857,0.0117,0,0,1,4usec,35usec,460.0,5.0kbps,38kbps,4.5ms,5.5ms,4.5ms,0x4601,455.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,4,5.6kbps,11,1,8%,0,70,0,28.8,-3.5,1,25,39kbps,6,0,0%,71,0,5,1,0,0,0,0,0,208ns,n/a,25,4.67ms,5.5ms,4.5ms,n/a,n/a,4ms
2025-07-30 21:39:31.115960,metric,51,1400,600,0,0,0,0,0.01,0.0183,0,0,1,8usec,39usec,508.0,17kbps,56kbps,4.5ms,4.5ms,4.5ms,0x4601,504.1,ue_reconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,17,18kbps,14,0,0%,0,70,0.010000001,31.3,-3.5,1,27,56kbps,11,0,0%,61,0,10,0,0,0,0,0,0,220ns,n/a,24,4.5ms,4.5ms,4.45ms,n/a,n/a,4.17ms
2025-07-30 21:39:32.115880,metric,51,1400,600,0,0,0,1,0.00929,0.123,0,0,1,8usec,35usec,621.16,23kbps,1.1Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,23kbps,13,0,0%,0,26,0.010000001,32.0,-3.7,1,27,1.1Mbps,73,1,1%,1178,2.01k,6,0,0,0,0,0,-0.099000014,237ns,n/a,19,4.5ms,4.5ms,4.48ms,4.06ms,4.5ms,4.12ms
2025-07-30 21:39:33.115990,metric,51,1400,600,0,0,0,2,0.00786,0.167,0,0,1,9usec,33usec,724.0,20kbps,1.6Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,15,1.0,27,21kbps,11,0,0%,0,22,0.010000001,32.1,-3.8,1,27,1.6Mbps,100,0,0%,1664,2.01k,0,0,0,0,0,0,-0.099000014,242ns,n/a,19,4.49ms,4.5ms,4.47ms,4.18ms,4.5ms,n/a
2025-07-30 21:39:34.115939,metric,51,1400,600,0,0,1,2,0.06,0.167,0,0,1,9usec,32usec,899.3,2.0Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,2.0Mbps,74,1,1%,151k,2733,0.0010000002,32.2,-3.8,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,-0.099000014,180ns,n/a,19,4.5ms,4.5ms,4.49ms,4.19ms,4.5ms,3.91ms
2025-07-30 21:39:35.115921,metric,51,1400,600,0,0,49,2,0.999,0.167,0,0,1,16usec,43usec,918.6,58Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,58Mbps,1394,5,0%,604k,68920,0.010000004,32.2,-3.7,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,-0.099000014,170ns,n/a,19,4.5ms,4.5ms,4.4ms,4.05ms,4.5ms,3.96ms
2025-07-30 21:39:36.115994,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,43usec,42.17,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,972k,68988,0.010000004,32.2,-3.8,1,27,1.6Mbps,100,0,0%,1664,2.01k,0,0,0,0,0,0,-0.099000014,177ns,n/a,21,4.49ms,4.5ms,4.39ms,4.03ms,4.5ms,3.95ms
2025-07-30 21:39:37.115951,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,47usec,96.17,58Mbps,1.6Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,1.34M,69016,0.010000004,32.2,-3.8,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,-0.099000014,200ns,n/a,19,4.49ms,4.5ms,4.46ms,4.06ms,4.5ms,3.95ms
2025-07-30 21:39:38.115973,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,44usec,250.17,57Mbps,1.6Mbps,4.5ms,5.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,57Mbps,1387,13,0%,1.69M,69006,0.006000034,31.8,-3.8,1,27,1.6Mbps,99,1,1%,1684,2.01k,0,2,1,0,0,0,-0.19600002,208ns,n/a,19,4.5ms,5.5ms,4.43ms,4.07ms,4.5ms,3.96ms
2025-07-30 21:39:39.116309,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,18usec,864usec,360.16,54Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,54Mbps,1310,90,6%,2.07M,68988,-0.63600236,31.0,-4.0,1,27,1.6Mbps,98,2,2%,1664,2.01k,0,14,5,0,2,0,-0.39400005,212ns,n/a,21,4.49ms,4.5ms,4.43ms,4.05ms,4.5ms,3.97ms
2025-07-30 21:39:40.116038,metric,51,1398,597,0,104,46,2,0.949,0.315,0,0,1,19usec,393usec,378.16,47Mbps,1.6Mbps,12ms,4.5ms,5.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12ms,,metric,,,,,,,,,,,,,,,,,,12ms,,5.5ms,,,,4601,1,15,1.0,26,47Mbps,1189,49,3%,2.35M,65283,0.009989648,30.9,-4.5,1,27,1.6Mbps,181,5,2%,1703,2.01k,2,7,2,1,4,0,-0.8890002,231ns,n/a,23,4.48ms,4.5ms,4.4ms,4.15ms,12ms,3.99ms
2025-07-30 21:39:41.115998,metric,51,1396,598,0,108,49,2,1,0.227,0,0,1,17usec,69usec,510.4,51Mbps,1.4Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,51Mbps,1249,42,3%,1.93M,68840,-0.16201034,31.8,-3.4,1,27,1.4Mbps,126,11,8%,1565,2.01k,1,1,5,5,0,0,,240ns,n/a,19,4.47ms,4.5ms,4.32ms,4.04ms,4.5ms,3.96ms
2025-07-30 21:39:42.115971,metric,51,1397,600,0,102,22,17,0.449,0.583,0,0,1,12usec,44usec,588.16,16Mbps,,4.5ms,,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,25,16Mbps,430,161,27%,0,30776,-0.87201506,-26.5,-33.8,1,4,0bps,0,298,100%,10350,2.01k,0,0,20,22,0,24,-5,132ns,n/a,19,n/a,n/a,4.5ms,4.1ms,4.5ms,3.94ms
