ID,time,Transfer,Bitrate,Retr,Cwnd
6,2025-08-03 19:35:24.929650,2.06,17.2,0,130.0
6,2025-08-03 19:35:25.929650,5.88,49.3,0,398.0
6,2025-08-03 19:35:26.929650,5.88,49.3,0,673.0
6,2025-08-03 19:35:27.929650,5.88,49.3,0,944.0
6,2025-08-03 19:35:28.929650,5.5,46.1,0,1.17
6,2025-08-03 19:35:29.929650,5.25,44.0,0,1.44
6,2025-08-03 19:35:30.929650,5.25,44.0,0,1.7
6,2025-08-03 19:35:31.929650,5.38,45.1,0,1.97
6,2025-08-03 19:35:32.929650,5.62,47.2,0,2.26
6,2025-08-03 19:35:33.929650,6.75,56.6,0,2.54
6,2025-08-03 19:35:34.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:35.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:36.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:37.929650,6.38,53.5,0,2.54
6,2025-08-03 19:35:38.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:39.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:40.929650,6.5,54.5,0,2.54
6,2025-08-03 19:35:41.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:42.929650,6.75,56.6,0,2.54
6,2025-08-03 19:35:43.929650,6.5,54.5,0,2.54
6,2025-08-03 19:35:44.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:45.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:46.929650,6.38,53.5,0,2.54
6,2025-08-03 19:35:47.929650,6.5,54.5,0,2.54
6,2025-08-03 19:35:48.929650,6.75,56.6,0,2.54
6,2025-08-03 19:35:49.929650,6.5,54.5,0,2.54
6,2025-08-03 19:35:50.929650,6.5,54.5,0,2.54
6,2025-08-03 19:35:51.929650,6.75,56.6,0,2.54
6,2025-08-03 19:35:52.929650,6.5,54.5,0,2.54
6,2025-08-03 19:35:53.929650,6.62,55.6,0,2.54
6,2025-08-03 19:35:54.929650,6.75,56.6,0,2.54
6,2025-08-03 19:35:55.929650,6.38,53.5,0,2.54
6,2025-08-03 19:35:56.929650,2.12,53.7,0,2.54
