time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-03 19:41:24.679444,metric,51,575,247,0,0,0,0,0,0,0,0,0,1usec,223usec,158.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 19:41:25.679450,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,253.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 19:41:26.679496,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,27usec,376.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 19:41:27.679418,metric,51,1400,600,1,0,0,0,0.0143,0.025,0,0,1,6usec,37usec,466.16,16kbps,77kbps,4.5ms,5.5ms,4.5ms,4ms,0x4601,407.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,13,1.0,10,17kbps,20,0,0%,0,126,0.0060000005,33.4,-3.1,1,26,78kbps,14,0,0%,116,0,12,0,0,0,0,0,0,187ns,n/a,8,4.54ms,5.5ms,4.29ms,4ms,4.06ms
2025-08-03 19:41:28.679480,metric,51,1400,600,0,0,0,0,0.00786,0.02,0,0,1,8usec,26usec,543.6,19kbps,62kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,14,1.0,25,19kbps,11,0,0%,0,22,0.013000001,35.2,-3.2,1,27,62kbps,12,0,0%,64,0,11,0,0,0,0,0,0,197ns,n/a,8,4.46ms,4.5ms,4.38ms,n/a,4.14ms
2025-08-03 19:41:29.679483,metric,51,1400,600,0,0,0,1,0.00786,0.103,0,0,1,8usec,39usec,633.11,18kbps,932kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,27,19kbps,10,0,0%,3,22,0.013000001,34.8,-3.2,1,27,933kbps,62,0,0%,966,1.53k,6,0,0,0,0,0,0,225ns,n/a,3,4.5ms,4.5ms,4.49ms,4.1ms,4.11ms
2025-08-03 19:41:30.679477,metric,51,1400,600,0,0,0,2,0.00714,0.158,0,0,1,9usec,41usec,727.5,20kbps,1.5Mbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,27,21kbps,11,0,0%,0,20,0.013000001,34.5,-3.2,1,27,1.5Mbps,94,1,1%,1583,0,1,0,0,0,0,0,-0.099000014,237ns,n/a,8,4.5ms,4.5ms,4.5ms,4.3ms,4.25ms
2025-08-03 19:41:31.679526,metric,51,1400,600,0,0,0,0,0.0171,0.0267,0,0,1,8usec,33usec,877.4,150kbps,77kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,15,1.0,27,151kbps,24,0,0%,0,167,0.013000001,35.9,-3.2,1,27,78kbps,16,0,0%,80,0,16,0,0,0,0,0,-0.099000014,192ns,n/a,8,4.5ms,4.5ms,4.44ms,n/a,4.02ms
2025-08-03 19:41:32.679486,metric,51,1400,600,0,0,14,0,0.339,0.09,0,0,1,11usec,47usec,902.10,17Mbps,374kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,26,17Mbps,462,4,0%,2.26k,20032,0.0020000017,34.8,-3.3,1,27,375kbps,54,0,0%,386,0,24,0,0,0,0,0,-0.099000014,178ns,n/a,7,4.45ms,4.5ms,4.35ms,4.13ms,3.96ms
2025-08-03 19:41:33.679537,metric,51,1400,600,0,0,43,0,0.89,0.122,0,0,1,14usec,53usec,12.6,51Mbps,517kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,15,1.0,27,51Mbps,1246,0,0%,333k,60738,0.0020000017,34.4,-3.3,1,27,517kbps,72,0,0%,540,102,22,0,0,0,0,0,-0.099000014,188ns,n/a,7,4.46ms,4.5ms,4.24ms,4.01ms,3.95ms
