time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,max_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,max_pucch_harq_delay,total_dl_brate,total_ul_brate,max_ce_delay,ul_olla,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_max_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_max_pucch_harq_delay,ue_total_dl_brate,ue_total_ul_brate,ue_max_ce_delay,ue_ul_olla
2025-08-03 19:57:06.637682,metric,51,561,241,0,0,0,0,0,0,0,0,0,1usec,219usec,159.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 19:57:07.637633,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,226.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 19:57:08.637660,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,371.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 19:57:09.637689,metric,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,19usec,467.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 19:57:10.637704,metric,51,1400,600,1,0,0,0,0.000714,0.00167,0,0,1,4usec,23usec,598.9,0x4601,599.8,ue_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,1,4601,n/a,n/a,7,0bps,0,0,0%,0,23,0,n/a,n/a,1,0,0bps,0,0,0%,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
2025-08-03 19:57:11.637754,metric,51,1400,600,0,0,0,0,0.0129,0.0217,0,0,1,6usec,55usec,662.0,0x4601,604.11,ue_reconf,,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,4.5ms,13kbps,75kbps,5.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,13,1.0,8,14kbps,19,0,0%,0,100,0.004,33.3,-3.2,1,26,75kbps,13,0,0%,112,0,11,0,0,0,0,0,176ns,n/a,8,4.58ms,5.5ms,4.38ms,4.5ms,n/a,n/a,4.12ms,4.5ms,,,,0
2025-08-03 19:57:12.637654,metric,51,1400,600,0,0,0,0,0.00786,0.0183,0,0,1,8usec,30usec,738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,4.5ms,19kbps,55kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,14,1.0,25,19kbps,11,0,0%,0,22,0.010000001,35.2,-3.4,1,27,55kbps,11,0,0%,57,0,10,0,0,0,0,0,198ns,n/a,8,4.5ms,4.5ms,4.45ms,4.5ms,4ms,4ms,4.08ms,4.5ms,,,,0
2025-08-03 19:57:13.637700,metric,51,1400,600,0,0,0,1,0.00714,0.102,0,0,1,8usec,37usec,882.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,18kbps,924kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,27,19kbps,10,0,0%,0,20,0.010000001,35.0,-3.3,1,27,924kbps,61,0,0%,957,2.01k,5,0,0,0,0,0,222ns,n/a,3,4.49ms,4.5ms,4.48ms,4.5ms,4.17ms,4.5ms,4.14ms,4.5ms,,,,0
2025-08-03 19:57:14.637658,metric,51,1400,600,0,0,0,2,0.00786,0.157,0,0,1,9usec,29usec,981.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,20kbps,1.5Mbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,27,21kbps,11,0,0%,0,22,0.010000001,34.9,-3.3,1,27,1.5Mbps,94,0,0%,1566,0,0,0,0,0,0,0,231ns,n/a,3,4.5ms,4.5ms,4.48ms,4.5ms,4.14ms,4.5ms,n/a,n/a,,,,0
2025-08-03 19:57:15.637712,metric,51,1400,600,0,0,1,0,0.0507,0.035,0,0,1,8usec,37usec,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,4.5ms,1.8Mbps,108kbps,4.5ms,,metric,,,,,,,,,,,,,,,,,,,1,4601,15,1.0,26,1.8Mbps,68,0,0%,0,2241,0.010000001,35.0,-3.5,1,27,109kbps,21,0,0%,112,0,18,0,0,0,0,0,229ns,n/a,6,4.5ms,4.5ms,4.38ms,4.5ms,4.17ms,4.5ms,4ms,4.5ms,,,,0
