time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-08-03 20:23:03.657994,CSI,0x4601,2,"[7,",na,"[4,",2222,+1.9dB,27.1us,"[0,",1,1,374.8,normal,0,invalid,-45.7dB,-49.1dB,-1.13us,-2429.2Hz,,,,,,
2025-08-03 20:23:03.662665,PHY,0x4601,1,,50,"[0,",,+19.4dB,19.7us,"[0,",1,,374.17,normal,0,valid,-15.0dB,-14.9dB,na,na,0,0,0,1,1311.3,
2025-08-03 20:23:03.677654,PHY,0x4601,1,,na,"[0,",,+19.4dB,18.9us,"[0,",1,,376.7,normal,0,valid,-13.5dB,-13.6dB,na,na,4,0,0,,2345.8,yes
2025-08-03 20:23:03.677933,CSI,0x4601,2,"[7,",na,"[4,",1111,+36.7dB,13.9us,"[0,",1,1,376.8,normal,0,valid,-11.6dB,-11.7dB,0.16us,-34.0Hz,,,,,,
2025-08-03 20:23:03.697726,PHY,0x4601,1,,na,"[0,",,-16.2dB,20.0us,"[0,",1,,378.7,normal,0,invalid,-46.1dB,-63.2dB,na,na,4,0,0,2,0.2,
2025-08-03 20:23:03.697751,PHY,0x4601,1,,na,"[0,",,+19.3dB,13.8us,"[0,",1,,378.7,normal,0,valid,-14.0dB,-14.1dB,na,na,0,0,0,1,2284.1,
2025-08-03 20:23:03.697873,CSI,0x4601,2,"[7,",na,"[4,",1111,+33.5dB,32.4us,"[0,",1,1,378.8,normal,0,valid,-12.0dB,-12.1dB,0.19us,-58.7Hz,,,,,,
2025-08-03 20:23:03.702681,PHY,0x4601,1,,na,"[0,",,+8.5dB,16.9us,"[0,",1,,378.17,normal,0,valid,-10.9dB,-12.0dB,na,na,0,0,0,11,191.3,
2025-08-03 20:23:03.717675,PHY,0x4601,1,,na,"[0,",,+8.6dB,18.5us,"[0,",1,,380.7,normal,0,valid,-13.7dB,-14.8dB,na,na,4,0,0,,193.4,yes
2025-08-03 20:23:03.717927,CSI,0x4601,2,"[7,",na,"[4,",1111,+23.3dB,17.1us,"[0,",1,1,380.8,normal,0,valid,-11.9dB,-12.4dB,0.74us,-1.6Hz,,,,,,
2025-08-03 20:23:03.737635,PHY,0x4601,1,,na,"[0,",,+8.6dB,19.5us,"[0,",1,,382.7,normal,0,valid,-10.8dB,-11.8dB,na,na,4,0,0,11,193.5,
