time,log_type,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr
2025-08-03 20:34:17.126702,ULMeasRept,0,4601,-98,-10.5,21.5
2025-08-03 20:34:17.246555,ULMeasRept,0,4601,-98,-10.5,21.5
2025-08-03 20:34:17.366463,ULMeasRept,0,4601,-98,-10.5,21.5
2025-08-03 20:34:17.486556,ULMeasRept,0,4601,-98,-10.5,22.0
2025-08-03 20:34:17.606468,ULMeasRept,0,4601,-97,-10.5,22.0
2025-08-03 20:34:17.726555,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:17.846524,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:17.966548,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:18.086495,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:18.206640,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:18.326488,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:18.446560,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:18.566504,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:18.686537,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:18.806499,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:18.926551,ULMeasRept,0,4601,-97,-10.5,22.0
2025-08-03 20:34:19.046544,ULMeasRept,0,4601,-97,-10.5,22.0
2025-08-03 20:34:19.166556,ULMeasRept,0,4601,-97,-10.5,22.0
2025-08-03 20:34:19.286542,ULMeasRept,0,4601,-97,-10.5,22.0
2025-08-03 20:34:19.406513,ULMeasRept,0,4601,-97,-10.5,22.0
2025-08-03 20:34:19.526676,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:19.646509,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:19.766550,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:19.886553,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:20.006605,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:20.126533,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:20.246562,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:20.376566,ULMeasRept,0,4601,-97,-10.5,22.5
2025-08-03 20:34:20.496522,ULMeasRept,0,4601,-97,-10.5,22.5
