time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-03 21:01:11.055413,metric,51,575,247,0,0,0,0,0,0,0,0,0,1usec,219usec,158.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 21:01:12.055431,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,234.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 21:01:13.055529,metric,51,1400,600,1,0,0,0,0.00286,0.005,0,0,1,4usec,33usec,396.0,4.0kbps,8.0kbps,4.5ms,4.5ms,4ms,0x4601,391.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,12,1.0,10,4.1kbps,3,0,0%,19,31,0,29.1,-2.2,1,19,8.6kbps,2,0,0%,30,0,2,0,0,0,0,0,0,84ns,n/a,10,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms
2025-08-03 21:01:14.055429,metric,51,1400,600,0,0,0,0,0.0121,0.02,0,0,1,6usec,37usec,450.0,13kbps,71kbps,4.5ms,5.5ms,4.5ms,0x4601,446.0,ue_reconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,10,14kbps,18,0,0%,0,97,0.0060000005,33.9,-3.2,1,28,72kbps,12,0,0%,87,0,10,0,0,0,0,0,0,195ns,n/a,8,4.58ms,5.5ms,4.42ms,n/a,n/a,4.04ms
2025-08-03 21:01:15.055492,metric,51,1400,600,0,0,0,0,0.00643,0.0167,0,0,1,8usec,26usec,510.0,16kbps,52kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,17kbps,9,0,0%,0,18,0.009000001,35.3,-3.3,1,27,52kbps,10,0,0%,54,0,9,0,0,0,0,0,0,195ns,n/a,8,4.5ms,4.5ms,4.45ms,n/a,n/a,4.18ms
2025-08-03 21:01:16.055423,metric,51,1400,600,0,0,0,1,0.00714,0.112,0,0,1,8usec,34usec,642.0,18kbps,1.0Mbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,19kbps,10,0,0%,0,20,0.009000001,34.9,-3.2,1,27,1.0Mbps,67,0,0%,1059,2.01k,5,0,0,0,0,0,0,220ns,n/a,3,4.5ms,4.5ms,4.49ms,4.25ms,4.5ms,4ms
2025-08-03 21:01:17.055463,metric,51,1400,600,0,0,0,2,0.00714,0.152,0,0,1,9usec,30usec,706.17,16kbps,1.4Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,15,1.0,27,17kbps,9,0,0%,3,20,0.009000001,34.6,-3.3,1,27,1.4Mbps,90,1,1%,1513,0,1,0,0,0,0,0,-0.099000014,230ns,n/a,8,4.49ms,4.5ms,4.49ms,4.17ms,4.5ms,n/a
2025-08-03 21:01:18.055524,metric,51,1400,600,0,0,1,0,0.0507,0.035,0,0,1,8usec,33usec,892.0,1.9Mbps,109kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,1.9Mbps,71,0,0%,23.9k,2266,0.009000001,34.7,-3.2,1,27,110kbps,21,0,0%,113,1.45k,18,0,0,0,0,0,-0.099000014,231ns,n/a,8,4.5ms,4.5ms,4.36ms,4.17ms,4.5ms,4.08ms
2025-08-03 21:01:19.055498,metric,51,1400,600,0,0,27,0,0.596,0.1,0,0,1,13usec,49usec,991.16,32Mbps,471kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,32Mbps,823,12,1%,197k,37923,-0.0069999956,34.2,-3.3,1,27,472kbps,59,1,1%,509,0,25,1,1,1,0,0,-0.19800003,233ns,n/a,8,4.47ms,4.5ms,4.27ms,4.08ms,4.5ms,3.96ms
2025-08-03 21:01:20.055514,metric,51,1400,600,0,0,49,0,1,0.125,0,0,1,15usec,48usec,0.15,58Mbps,544kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,58Mbps,1392,0,0%,409k,68988,0.010000006,34.4,-3.3,1,27,545kbps,75,0,0%,562,1.04k,23,0,0,0,0,0,-0.19800003,177ns,n/a,7,4.48ms,4.5ms,4.25ms,4.05ms,4.5ms,3.95ms
