time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 22:15:48.609360,PHY,0x4601,1,0,50,"[0,",0,0,1,8413.7,+27.4dB,20.6us,"[0,",1,374.17,normal,0,valid,-14.7dB,-14.5dB,na,na,,,,
2025-08-03 22:15:48.624353,PHY,0x4601,1,4,na,"[0,",0,0,,18566.2,+28.4dB,20.2us,"[0,",1,376.7,normal,0,valid,-13.1dB,-13.1dB,na,na,yes,,,
2025-08-03 22:15:48.624624,CSI,0x4601,2,,na,"[4,",,,,,+32.6dB,29.5us,"[0,",1,376.8,normal,0,valid,-11.4dB,-11.4dB,-0.05us,-87.0Hz,,"[7,",1111,1
2025-08-03 22:15:48.644415,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-19.1dB,22.0us,"[0,",1,378.7,normal,0,invalid,-46.8dB,-66.3dB,na,na,,,,
2025-08-03 22:15:48.644438,PHY,0x4601,1,0,na,"[0,",0,0,1,21798.6,+29.1dB,11.9us,"[0,",1,378.7,normal,0,valid,-13.8dB,-13.8dB,na,na,,,,
2025-08-03 22:15:48.644698,CSI,0x4601,2,,na,"[4,",,,,,+32.9dB,24.4us,"[0,",1,378.8,normal,0,valid,-11.7dB,-11.7dB,-0.06us,+33.5Hz,,"[7,",1111,1
2025-08-03 22:15:48.649374,PHY,0x4601,1,0,na,"[0,",0,0,11,1278.3,+16.8dB,18.0us,"[0,",1,378.17,normal,0,valid,-10.7dB,-10.7dB,na,na,,,,
2025-08-03 22:15:48.664367,PHY,0x4601,1,4,na,"[0,",0,0,,1306.3,+16.9dB,18.1us,"[0,",1,380.7,normal,0,valid,-13.4dB,-13.5dB,na,na,yes,,,
2025-08-03 22:15:48.664621,CSI,0x4601,2,,na,"[4,",,,,,+34.0dB,15.7us,"[0,",1,380.8,normal,0,valid,-11.6dB,-11.7dB,0.21us,-101.0Hz,,"[7,",1111,1
2025-08-03 22:15:48.684430,PHY,0x4601,1,4,na,"[0,",0,0,11,1358.3,+17.1dB,18.0us,"[0,",1,382.7,normal,0,valid,-10.4dB,-10.5dB,na,na,,,,
2025-08-03 22:15:48.684452,PHY,0x4601,1,0,na,"[0,",0,0,22,0.1,-21.2dB,13.4us,"[0,",1,382.7,normal,0,invalid,-46.8dB,-68.6dB,na,na,,,,
2025-08-03 22:15:48.684555,CSI,0x4601,2,,na,"[4,",,,,,+35.2dB,18.8us,"[0,",1,382.8,normal,0,valid,-11.7dB,-11.7dB,0.21us,-66.6Hz,,"[7,",1111,1
2025-08-03 22:15:48.685386,PHY,0x4601,1,0,na,"[0,",0,0,1,1318.9,+16.9dB,17.0us,"[0,",1,382.9,normal,0,valid,-13.9dB,-14.0dB,na,na,,,,
2025-08-03 22:15:48.704395,PHY,0x4601,1,4,na,"[0,",0,0,,1365.0,+17.1dB,23.8us,"[0,",1,384.7,normal,0,valid,-13.7dB,-13.8dB,na,na,yes,,,
2025-08-03 22:15:48.704663,CSI,0x4601,2,,na,"[4,",,,,,+33.2dB,14.7us,"[0,",1,384.8,normal,0,valid,-11.9dB,-11.9dB,0.21us,-104.1Hz,,"[7,",1111,1
2025-08-03 22:15:48.724596,CSI,0x4601,2,,na,"[4,",,,,,+35.2dB,12.5us,"[0,",1,386.8,normal,0,valid,-12.1dB,-12.1dB,0.21us,+24.5Hz,,"[7,",1111,1
2025-08-03 22:15:48.734028,PHY,0x4601,2,,na,"[0,",,,111,,+33.7dB,28.2us,"[0,",1,387.7,normal,0,valid,-13.2dB,-13.3dB,0.21us,+2.1Hz,,"[6,",,1
2025-08-03 22:15:48.744408,PHY,0x4601,1,4,na,"[0,",0,0,,1285.2,+16.8dB,22.1us,"[0,",1,388.7,normal,0,valid,-13.9dB,-14.0dB,na,na,yes,,,
2025-08-03 22:15:48.744677,CSI,0x4601,2,,na,"[4,",,,,,+33.5dB,13.1us,"[0,",1,388.8,normal,0,valid,-12.1dB,-12.1dB,0.22us,-112.9Hz,,"[7,",1111,1
2025-08-03 22:15:48.764365,PHY,0x4601,1,4,na,"[0,",0,0,2,0.1,-29.2dB,17.7us,"[0,",1,390.7,normal,0,invalid,-47.3dB,-77.1dB,na,na,,,,
2025-08-03 22:15:48.764384,PHY,0x4601,1,0,na,"[0,",0,0,1,1236.7,+16.7dB,14.7us,"[0,",1,390.7,normal,0,valid,-14.1dB,-14.2dB,na,na,,,,
2025-08-03 22:15:48.764627,CSI,0x4601,2,,na,"[4,",,,,,+32.8dB,19.9us,"[0,",1,390.8,normal,0,valid,-11.9dB,-12.0dB,0.22us,-143.8Hz,,"[7,",1111,1
2025-08-03 22:15:48.784419,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-24.3dB,14.7us,"[0,",1,392.7,normal,0,invalid,-46.7dB,-71.1dB,na,na,no,,,
2025-08-03 22:15:48.784690,CSI,0x4601,2,,na,"[4,",,,,,+31.8dB,16.2us,"[0,",1,392.8,normal,0,valid,-12.1dB,-12.1dB,0.20us,-0.1Hz,,"[7,",1111,1
2025-08-03 22:15:48.804380,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-15.4dB,16.2us,"[0,",1,394.7,normal,0,invalid,-46.8dB,-62.4dB,na,na,no,,,
2025-08-03 22:15:48.804652,CSI,0x4601,2,,na,"[4,",,,,,+33.2dB,13.2us,"[0,",1,394.8,normal,0,valid,-12.0dB,-12.0dB,0.20us,-36.8Hz,,"[7,",1111,1
2025-08-03 22:15:48.824445,PHY,0x4601,1,4,na,"[0,",0,0,,0.7,-15.1dB,16.4us,"[0,",1,396.7,normal,0,invalid,-46.4dB,-62.5dB,na,na,no,,,
2025-08-03 22:15:48.824565,CSI,0x4601,2,,na,"[4,",,,,,+29.9dB,14.7us,"[0,",1,396.8,normal,0,valid,-12.0dB,-12.0dB,0.22us,-99.3Hz,,"[7,",1111,1
