time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-03 15:59:54.940936,metric,51,556,240,0,0,0,0,0,0,0,0,0,1usec,210usec,160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 15:59:55.941062,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,25usec,208.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 15:59:56.940893,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,301.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03 15:59:57.940990,metric,51,1400,600,1,0,0,0,0.0164,0.025,0,0,1,6usec,42usec,468.0,16kbps,79kbps,4.5ms,5ms,4.5ms,4ms,0x4601,407.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,13,1.0,9,16kbps,21,2,8%,0,133,-0.005,32.0,-4.2,1,26,80kbps,14,0,0%,118,0,12,1,0,0,0,0,0,334ns,n/a,7,4.54ms,5ms,4.39ms,4ms,4.04ms
2025-08-03 15:59:58.941012,metric,51,1400,598,0,0,0,0,0.00714,0.0184,0,0,1,8usec,30usec,516.0,14kbps,57kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,14kbps,9,0,0%,3,20,0.0050000013,33.7,-4.3,1,27,57kbps,11,0,0%,59,0,10,0,0,0,0,0,0,201ns,n/a,7,4.5ms,4.5ms,4.32ms,n/a,4.15ms
2025-08-03 15:59:59.940946,metric,51,1400,600,0,0,0,1,0.00786,0.108,0,0,1,8usec,31usec,640.3,18kbps,989kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,24,18kbps,11,1,8%,0,22,0.006000002,33.9,-4.4,1,27,990kbps,65,0,0%,1025,2.01k,5,0,0,0,0,0,0,223ns,n/a,2,4.5ms,4.5ms,4.46ms,4.17ms,4.15ms
2025-08-03 16:00:00.940971,metric,51,1396,599,0,4,0,1,0.00716,0.164,0,0,1,8usec,37usec,719.6,16kbps,1.0Mbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,13,1.0,23,16kbps,10,0,0%,0,20,0.016000003,33.1,-4.4,1,27,1.0Mbps,97,1,1%,1095,0,6,0,0,0,0,0,-0.099000014,231ns,n/a,7,4.41ms,4.5ms,4.31ms,4.1ms,4.1ms
2025-08-03 16:00:01.940973,metric,51,1400,600,0,0,0,0,0.00786,0.0167,0,0,1,8usec,38usec,810.0,17kbps,48kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,18kbps,11,0,0%,0,22,0.027000004,34.5,-4.3,1,27,49kbps,10,0,0%,50,0,10,0,0,0,0,0,-0.099000014,233ns,n/a,7,4.5ms,4.5ms,4.3ms,n/a,4.02ms
2025-08-03 16:00:02.941000,metric,51,1400,600,0,0,0,0,0.00643,0.015,0,0,1,8usec,24usec,948.6,14kbps,43kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,n/a,,,,4601,1,13,1.0,23,15kbps,9,0,0%,0,18,0.036,34.6,-4.3,1,27,44kbps,9,0,0%,45,0,9,0,0,0,0,0,-0.099000014,185ns,n/a,7,4.5ms,4.5ms,4.39ms,n/a,4.08ms
2025-08-03 16:00:03.941041,metric,51,1400,600,0,0,0,0,0.00786,0.015,0,0,1,8usec,60usec,1006.7,15kbps,45kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,14,1.0,25,16kbps,9,2,18%,0,22,0.02699999,34.8,-4.3,1,27,46kbps,9,0,0%,47,0,9,0,0,0,0,0,-0.099000014,184ns,n/a,6,4.5ms,4.5ms,4.39ms,4ms,4.08ms
