time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 16:04:50.345728,PHY,0x4601,1,0,50,"[0,",0,0,1,1675.3,+20.5dB,24.8us,"[0,",1,391.17,normal,0,valid,-15.5dB,-15.3dB,na,na,,,,
2025-08-03 16:04:50.350682,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-24.0dB,16.6us,"[0,",1,392.7,normal,0,invalid,-47.0dB,-71.7dB,na,na,no,,,
2025-08-03 16:04:50.350971,CSI,0x4601,2,,na,"[4,",,,,,+32.2dB,27.5us,"[0,",1,392.8,normal,0,valid,-12.1dB,-12.1dB,0.13us,-34.3Hz,,"[7,",0001,1
2025-08-03 16:04:50.370743,PHY,0x4601,1,4,na,"[0,",0,0,,2904.1,+20.4dB,14.8us,"[0,",1,394.7,normal,0,valid,-13.8dB,-13.8dB,na,na,yes,,,
2025-08-03 16:04:50.370889,CSI,0x4601,2,,na,"[4,",,,,,+35.2dB,12.9us,"[0,",1,394.8,normal,0,valid,-12.1dB,-12.1dB,0.14us,-60.3Hz,,"[7,",1111,1
2025-08-03 16:04:50.390706,PHY,0x4601,1,4,na,"[0,",0,0,2,0.1,-28.8dB,21.8us,"[0,",1,396.7,normal,0,invalid,-46.7dB,-76.4dB,na,na,,,,
2025-08-03 16:04:50.390728,PHY,0x4601,1,0,na,"[0,",0,0,1,2871.8,+20.3dB,11.8us,"[0,",1,396.7,normal,0,valid,-14.3dB,-14.4dB,na,na,,,,
2025-08-03 16:04:50.390938,CSI,0x4601,2,,na,"[4,",,,,,+34.1dB,24.8us,"[0,",1,396.8,normal,0,valid,-12.6dB,-12.6dB,0.16us,-58.2Hz,,"[7,",1111,1
2025-08-03 16:04:50.395666,PHY,0x4601,1,0,na,"[0,",0,0,1,1413.7,+17.2dB,20.0us,"[0,",1,396.17,normal,0,valid,-14.3dB,-14.4dB,na,na,,,,
2025-08-03 16:04:50.410658,PHY,0x4601,1,4,na,"[0,",0,0,,1513.2,+17.5dB,15.2us,"[0,",1,398.7,normal,0,valid,-14.1dB,-14.2dB,na,na,yes,,,
2025-08-03 16:04:50.410917,CSI,0x4601,2,,na,"[4,",,,,,+32.5dB,21.3us,"[0,",1,398.8,normal,0,valid,-12.4dB,-12.4dB,0.19us,-14.7Hz,,"[7,",1111,1
2025-08-03 16:04:50.430720,PHY,0x4601,1,4,na,"[0,",0,0,2,0.3,-22.7dB,16.7us,"[0,",1,400.7,normal,0,invalid,-46.5dB,-69.6dB,na,na,,,,
2025-08-03 16:04:50.430742,PHY,0x4601,1,0,na,"[0,",0,0,1,1347.7,+17.0dB,17.9us,"[0,",1,400.7,normal,0,valid,-14.5dB,-14.6dB,na,na,,,,
2025-08-03 16:04:50.430953,CSI,0x4601,2,,na,"[4,",,,,,+33.8dB,15.4us,"[0,",1,400.8,normal,0,valid,-12.7dB,-12.7dB,0.21us,-132.4Hz,,"[7,",1111,1
2025-08-03 16:04:50.431665,PHY,0x4601,1,0,na,"[0,",0,0,1,1410.0,+17.2dB,15.9us,"[0,",1,400.9,normal,0,valid,-14.5dB,-14.6dB,na,na,,,,
2025-08-03 16:04:50.450678,PHY,0x4601,1,4,na,"[0,",0,0,,1430.2,+17.3dB,19.7us,"[0,",1,402.7,normal,0,valid,-14.4dB,-14.5dB,na,na,yes,,,
2025-08-03 16:04:50.450905,CSI,0x4601,2,,na,"[4,",,,,,+32.3dB,16.1us,"[0,",1,402.8,normal,0,valid,-12.6dB,-12.7dB,0.20us,-48.3Hz,,"[7,",1111,1
2025-08-03 16:04:50.470875,CSI,0x4601,2,,na,"[4,",,,,,+31.4dB,19.7us,"[0,",1,404.8,normal,0,valid,-12.7dB,-12.8dB,0.19us,-89.8Hz,,"[7,",1111,1
2025-08-03 16:04:50.480314,PHY,0x4601,2,,na,"[0,",,,111,,+38.5dB,19.3us,"[0,",1,405.7,normal,0,valid,-14.1dB,-14.2dB,0.22us,+4.6Hz,,"[6,",,1
2025-08-03 16:04:50.490691,PHY,0x4601,1,4,na,"[0,",0,0,,1461.2,+17.4dB,16.6us,"[0,",1,406.7,normal,0,valid,-14.8dB,-14.9dB,na,na,yes,,,
2025-08-03 16:04:50.490932,CSI,0x4601,2,,na,"[4,",,,,,+31.2dB,12.3us,"[0,",1,406.8,normal,0,valid,-13.0dB,-13.0dB,0.20us,-100.0Hz,,"[7,",1111,1
2025-08-03 16:04:50.510657,PHY,0x4601,1,4,na,"[0,",0,0,2,0.1,-18.8dB,22.1us,"[0,",1,408.7,normal,0,invalid,-46.6dB,-66.2dB,na,na,,,,
2025-08-03 16:04:50.510673,PHY,0x4601,1,0,na,"[0,",0,0,1,1342.6,+17.0dB,11.7us,"[0,",1,408.7,normal,0,valid,-14.9dB,-15.0dB,na,na,,,,
2025-08-03 16:04:50.510923,CSI,0x4601,2,,na,"[4,",,,,,+33.6dB,16.9us,"[0,",1,408.8,normal,0,valid,-12.9dB,-12.9dB,0.21us,+27.8Hz,,"[7,",1110,1
2025-08-03 16:04:50.530713,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-29.9dB,16.0us,"[0,",1,410.7,normal,0,invalid,-46.5dB,-77.9dB,na,na,no,,,
2025-08-03 16:04:50.530944,CSI,0x4601,2,,na,"[4,",,,,,+32.7dB,15.4us,"[0,",1,410.8,normal,0,valid,-13.0dB,-13.0dB,0.20us,+32.6Hz,,"[7,",1110,1
2025-08-03 16:04:50.550671,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-21.4dB,14.7us,"[0,",1,412.7,normal,0,invalid,-47.0dB,-68.7dB,na,na,no,,,
2025-08-03 16:04:50.550913,CSI,0x4601,2,,na,"[4,",,,,,+35.0dB,12.1us,"[0,",1,412.8,normal,0,valid,-13.0dB,-13.0dB,0.21us,-24.1Hz,,"[7,",1110,1
2025-08-03 16:04:50.570728,PHY,0x4601,1,4,na,"[0,",0,0,,0.4,-20.1dB,15.1us,"[0,",1,414.7,normal,0,invalid,-46.2dB,-66.8dB,na,na,no,,,
2025-08-03 16:04:50.570864,CSI,0x4601,2,,na,"[4,",,,,,+35.8dB,12.0us,"[0,",1,414.8,normal,0,valid,-12.9dB,-13.0dB,0.20us,-84.4Hz,,"[7,",1111,1
2025-08-03 16:04:50.590692,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-17.7dB,19.2us,"[0,",1,416.7,normal,0,invalid,-47.1dB,-66.0dB,na,na,no,,,
2025-08-03 16:04:50.590935,CSI,0x4601,2,,na,"[4,",,,,,+32.3dB,25.0us,"[0,",1,416.8,normal,0,valid,-13.0dB,-13.0dB,0.21us,-33.3Hz,,"[7,",1111,1
2025-08-03 16:04:50.600252,PHY,0x4601,2,,na,"[0,",,,111,,+31.8dB,15.8us,"[0,",1,417.7,normal,0,valid,-14.1dB,-14.1dB,0.22us,-62.4Hz,,"[6,",,1
2025-08-03 16:04:50.610640,PHY,0x4601,1,4,na,"[0,",0,0,,1424.2,+17.3dB,16.6us,"[0,",1,418.7,normal,0,valid,-14.8dB,-14.9dB,na,na,yes,,,
2025-08-03 16:04:50.610877,CSI,0x4601,2,,na,"[4,",,,,,+34.0dB,13.9us,"[0,",1,418.8,normal,0,valid,-13.0dB,-13.0dB,0.21us,+8.3Hz,,"[7,",1110,1
2025-08-03 16:04:50.630705,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-23.0dB,17.5us,"[0,",1,420.7,normal,0,invalid,-46.6dB,-70.9dB,na,na,no,,,
2025-08-03 16:04:50.630963,CSI,0x4601,2,,na,"[4,",,,,,+33.5dB,13.3us,"[0,",1,420.8,normal,0,valid,-13.0dB,-13.0dB,0.19us,+60.3Hz,,"[7,",1110,1
2025-08-03 16:04:50.650656,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-17.2dB,15.0us,"[0,",1,422.7,normal,0,invalid,-46.8dB,-65.2dB,na,na,no,,,
2025-08-03 16:04:50.650932,CSI,0x4601,2,,na,"[4,",,,,,+35.2dB,13.4us,"[0,",1,422.8,normal,0,valid,-13.1dB,-13.1dB,0.20us,-46.5Hz,,"[7,",1110,1
2025-08-03 16:04:50.670722,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-20.4dB,15.4us,"[0,",1,424.7,normal,0,invalid,-47.3dB,-68.7dB,na,na,no,,,
2025-08-03 16:04:50.670996,CSI,0x4601,2,,na,"[4,",,,,,+34.9dB,12.5us,"[0,",1,424.8,normal,0,valid,-13.1dB,-13.1dB,0.21us,+8.1Hz,,"[7,",1110,1
2025-08-03 16:04:50.690678,PHY,0x4601,1,4,na,"[0,",0,0,,0.0,-29.0dB,14.5us,"[0,",1,426.7,normal,0,invalid,-46.4dB,-75.8dB,na,na,no,,,
2025-08-03 16:04:50.690920,CSI,0x4601,2,,na,"[4,",,,,,+37.2dB,11.9us,"[0,",1,426.8,normal,0,valid,-13.0dB,-13.0dB,0.20us,-17.9Hz,,"[7,",1110,1
2025-08-03 16:04:50.710744,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-22.1dB,18.6us,"[0,",1,428.7,normal,0,invalid,-46.9dB,-70.0dB,na,na,no,,,
2025-08-03 16:04:50.710888,CSI,0x4601,2,,na,"[4,",,,,,+31.6dB,12.9us,"[0,",1,428.8,normal,0,valid,-13.0dB,-13.0dB,0.20us,+23.4Hz,,"[7,",1110,1
2025-08-03 16:04:50.730697,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-18.5dB,14.3us,"[0,",1,430.7,normal,0,invalid,-46.7dB,-65.6dB,na,na,no,,,
2025-08-03 16:04:50.730930,CSI,0x4601,2,,na,"[4,",,,,,+32.8dB,12.2us,"[0,",1,430.8,normal,0,valid,-13.0dB,-13.0dB,0.19us,+7.8Hz,,"[7,",1110,1
2025-08-03 16:04:50.750653,PHY,0x4601,1,4,na,"[0,",0,0,,0.0,-33.1dB,15.6us,"[0,",1,432.7,normal,0,invalid,-46.7dB,-80.8dB,na,na,no,,,
2025-08-03 16:04:50.750931,CSI,0x4601,2,,na,"[4,",,,,,+33.7dB,16.5us,"[0,",1,432.8,normal,0,valid,-13.0dB,-13.0dB,0.21us,+49.6Hz,,"[7,",1110,1
