time                      , log_type, nof_prbs, nof_dl_slots, nof_ul_slots, nof_prach_preambles, error_indications, pdsch_rbs_per_slot, pusch_rbs_per_slot, pdschs_per_slot, puschs_per_slot, failed_pdcch, failed_uci, nof_ues, mean_latency, max_latency, max_latency_slot, total_dl_brate, total_ul_brate, max_crc_delay, max_ce_delay, max_pucch_harq_delay, events, slot  , type     , rnti  , pci, cqi, dl_ri, dl_mcs, dl_brate, dl_nof_ok, dl_nof_nok, dl_error_rate, dl_bs, dl_nof_prbs, dl_olla, pusch_snr_db, pusch_rsrp_db, ul_ri, ul_mcs, ul_brate, ul_nof_ok, ul_nof_nok, ul_error_rate, ul_nof_prbs, bsr, sr_count, f0f1_invalid_harqs, f2f3f4_invalid_harqs, f2f3f4_invalid_csis, pusch_invalid_harqs, pusch_invalid_csis, ul_olla, ta, srs_ta, last_phr, avg_ul_ce_delay, max_ul_ce_delay, avg_crc_delay, avg_pusch_harq_delay, max_pusch_harq_delay, avg_pucch_harq_delay, ue_log_type, ue_nof_prbs, ue_nof_dl_slots, ue_nof_ul_slots, ue_nof_prach_preambles, ue_error_indications, ue_pdsch_rbs_per_slot, ue_pusch_rbs_per_slot, ue_pdschs_per_slot, ue_puschs_per_slot, ue_failed_pdcch, ue_failed_uci, ue_nof_ues, ue_mean_latency, ue_max_latency, ue_max_latency_slot, ue_total_dl_brate, ue_total_ul_brate, ue_max_crc_delay, ue_max_ce_delay, ue_max_pucch_harq_delay, ue_events, ue_slot, ue_type, ue_rnti, ue_pci, ue_cqi, ue_dl_ri, ue_dl_mcs, ue_dl_brate, ue_dl_nof_ok, ue_dl_nof_nok, ue_dl_error_rate, ue_dl_bs, ue_dl_nof_prbs, ue_dl_olla , ue_pusch_snr_db, ue_pusch_rsrp_db, ue_ul_ri, ue_ul_mcs, ue_ul_brate, ue_ul_nof_ok, ue_ul_nof_nok, ue_ul_error_rate, ue_ul_nof_prbs, ue_bsr, ue_sr_count, ue_f0f1_invalid_harqs, ue_f2f3f4_invalid_harqs, ue_f2f3f4_invalid_csis, ue_pusch_invalid_harqs, ue_pusch_invalid_csis, ue_ul_olla  , ue_ta, ue_srs_ta, ue_last_phr, ue_avg_ul_ce_delay, ue_max_ul_ce_delay, ue_avg_crc_delay, ue_avg_pusch_harq_delay, ue_max_pusch_harq_delay, ue_avg_pucch_harq_delay
2025-08-03 17:42:25.929859, metric  ,       51,          561,          243,                   0,                 0,                  0,                  0,         0      ,          0     ,            0,          0,       0, 1usec       , 223usec    ,           159.17,               ,               ,              ,             ,                     ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     ,            ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  ,                 ,                ,                        ,          ,        ,        ,        ,       ,       ,         ,          ,            ,             ,              ,                 ,         ,               ,            ,                ,                 ,         ,          ,            ,             ,              ,                 ,               ,       ,            ,                      ,                        ,                       ,                       ,                      ,             ,      ,          ,            ,                   ,                   ,                 ,                        ,                        , 
2025-08-03 17:42:26.929815, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0      ,          0     ,            0,          0,       0, 3usec       , 19usec     ,           255.5 ,               ,               ,              ,             ,                     ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     ,            ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  ,                 ,                ,                        ,          ,        ,        ,        ,       ,       ,         ,          ,            ,             ,              ,                 ,         ,               ,            ,                ,                 ,         ,          ,            ,             ,              ,                 ,               ,       ,            ,                      ,                        ,                       ,                       ,                      ,             ,      ,          ,            ,                   ,                   ,                 ,                        ,                        , 
2025-08-03 17:42:27.929781, metric  ,       51,         1400,          600,                   1,                 0,                  0,                  0,         0.00857,          0.0133,            0,          0,       1, 4usec       , 31usec     ,           362.0 , 7.0kbps       , 42kbps        , 4.5ms        , 5.5ms       , 4ms                 , 0x4601, 358.8 , ue_create, 0x4601,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4ms                    ,          ,        ,        ,    4601,      1,     14,      1.0,         7, 7.1kbps    ,           12,             0, 0%              ,        0,             69, 0          ,            29.6, -3.2            ,        1,        25, 43kbps     ,            7,             0, 0%              ,             77, 0     ,           6,                     0,                       0,                      0,                      0,                     0, 0           , 430ns, n/a      ,           9, 4.64ms            , 5.5ms             , 4.43ms          , n/a                    , n/a                    , 4ms
2025-08-03 17:42:28.929864, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00929,          0.02  ,            0,          0,       1, 7usec       , 44usec     ,           432.0 , 15kbps        , 61kbps        , 4.5ms        , 4.5ms       , 4.5ms               , 0x4601, 427.18, ue_reconf,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        16, 15kbps     ,           13,             0, 0%              ,        0,             67, 0.009000001,            34.6, -4.2            ,        1,        27, 61kbps     ,           12,             0, 0%              ,             66, 0     ,          11,                     0,                       0,                      0,                      0,                     0, 0           , 289ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.42ms          , n/a                    , n/a                    , 4.14ms
2025-08-03 17:42:29.929843, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00714,          0.0167,            0,          0,       1, 8usec       , 29usec     ,           540.0 , 14kbps        , 50kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     13,      1.0,        23, 14kbps     ,            9,             0, 0%              ,        3,             20, 0.019000001,            34.6, -4.5            ,        1,        27, 51kbps     ,           10,             0, 0%              ,             52, 0     ,           9,                     0,                       0,                      0,                      0,                     0, 0           , 222ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.35ms          , 4.5ms                  , 4.5ms                  , 4.13ms
2025-08-03 17:42:30.929780, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  1,         0.00929,          0.115 ,            0,          0,       1, 9usec       , 34usec     ,           698.16, 16kbps        , 1.0Mbps       , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     13,      1.0,        23, 17kbps     ,           11,             3, 21%             ,        0,             26,            ,            34.0, -4.7            ,        1,        27, 1.0Mbps    ,           69,             0, 0%              ,           1084, 2.01k ,           4,                     0,                       0,                      0,                      0,                     0, 0           , 240ns, n/a      ,           2, 4.5ms             , 4.5ms             , 4.46ms          , 4.07ms                 , 4.5ms                  , 4.11ms
2025-08-03 17:42:31.929753, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  2,         0.00857,          0.148 ,            0,          0,       1, 9usec       , 45usec     ,           742.17, 16kbps        , 1.4Mbps       , 4.5ms        , 4.5ms       , 4ms                 ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     , 4.5ms               ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4ms                    ,          ,        ,        ,    4601,      1,     13,      1.0,        22, 17kbps     ,           11,             1, 8%              ,        0,             24, 0.004000002,            33.6, -4.5            ,        1,        27, 1.4Mbps    ,           88,             1, 1%              ,           1468, 0     ,           1,                     0,                       0,                      0,                      0,                     0, -0.099000014, 163ns, n/a      ,           7, 4.49ms            , 4.5ms             , 4.47ms          , 4.05ms                 , 4.5ms                  , 4ms
2025-08-03 17:42:32.929742, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00714,          0.015 ,            0,          0,       1, 8usec       , 30usec     ,           816.0 , 14kbps        , 43kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 14kbps     ,           10,             0, 0%              ,        0,             20, 0.014000003,            35.2, -4.4            ,        1,        27, 44kbps     ,            9,             0, 0%              ,             45, 0     ,           9,                     0,                       0,                      0,                      0,                     0, -0.099000014, 182ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.39ms          , n/a                    , n/a                    , 4.06ms
2025-08-03 17:42:33.929801, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00643,          0.015 ,            0,          0,       1, 8usec       , 28usec     ,           973.16, 12kbps        , 43kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 13kbps     ,            9,             0, 0%              ,        0,             18, 0.023000004,            34.8, -4.4            ,        1,        27, 44kbps     ,            9,             0, 0%              ,             45, 0     ,           9,                     0,                       0,                      0,                      0,                     0, -0.099000014, 192ns, n/a      ,           7, 4.5ms             , 4.5ms             , 4.28ms          , n/a                    , n/a                    , 4.25ms
2025-08-03 17:42:34.929751, metric  ,       51,         1400,          600,                   0,                 0,                  0,                  0,         0.00786,          0.0183,            0,          0,       1, 8usec       , 27usec     ,          1020.1 , 15kbps        , 53kbps        , 4.5ms        , 4.5ms       , 4.5ms               ,       ,       ,          ,       ,    ,    ,      ,       ,         ,          ,           ,              ,      ,            ,        ,             ,              ,      ,       ,         ,          ,           ,              ,            ,    ,         ,                   ,                     ,                    ,                    ,                   ,        ,   ,       ,         ,                ,                ,              ,                     ,                     ,                     , metric     ,            ,                ,                ,                       ,                     ,                      ,                      ,                   ,                   ,                ,              ,           ,                ,               ,                    ,                  ,                  , 4.5ms           ,                , 4.5ms                  ,          ,        ,        ,    4601,      1,     12,      1.0,        21, 16kbps     ,           11,             0, 0%              ,        0,             22, 0.034      ,            33.9, -4.3            ,        1,        27, 54kbps     ,           11,             0, 0%              ,             55, 0     ,          11,                     0,                       0,                      0,                      0,                     0, -0.099000014, 202ns, n/a      ,           7, 4.45ms            , 4.5ms             , 4.36ms          , n/a                    , n/a                    , 4.11ms
