time,log_type,total_dl_brate,total_ul_brate,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_total_dl_brate,ue_total_ul_brate,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-08-04 12:47:42.706069,metric,4.0kbps,8.0kbps,51,561,243,2,0,0,0,0.0285,0.0165,0,0,2,2usec,228usec,159.17,4.5ms,4.5ms,4ms,0x4601,182.8,ue_create,0x4602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,2,2.8kbps,4,10,71%,0,63,0,30.1,-2.5,1,19,8.6kbps,2,0,0%,30,0,2,8,0,6,0,0,0,-34ns,n/a,5,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms
2025-08-04 12:47:43.706115,metric,,,51,1400,600,0,0,0,0,0.331,0.015,0,0,0,7usec,37usec,265.10,,,,0x4602,202.5,ue_reconf,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-04 12:47:44.706042,metric,5.0kbps,34kbps,51,1400,600,1,0,0,0,0.00643,0.01,0,0,1,4usec,34usec,375.8,4.5ms,5.5ms,4.5ms,0x4603,375.7,ue_create,0x4603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,14,1.0,5,5.0kbps,9,0,0%,0,52,0,30.5,-2.8,1,24,34kbps,5,0,0%,65,0,4,0,0,0,0,0,0,176ns,n/a,10,4.7ms,5.5ms,4.5ms,n/a,n/a,4.12ms
2025-08-04 12:47:45.706159,metric,,4.0kbps,51,1400,600,0,0,0,0,0.000714,0.00167,0,0,1,4usec,22usec,458.17,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,15,1.0,2,,1,0,0%,0,13,0,35.0,-3.1,1,28,4.4kbps,1,0,0%,6,0,1,0,0,0,0,0,0,169ns,n/a,10,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms
2025-08-04 12:47:46.706164,metric,21kbps,73kbps,51,1400,600,0,0,0,0,0.0129,0.025,0,0,1,7usec,28usec,541.3,4.5ms,4.5ms,4.5ms,0x4603,515.19,ue_reconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,13,1.0,18,22kbps,17,0,0%,3,77,0.014000001,35.4,-3.3,1,27,74kbps,15,0,0%,79,0,14,0,0,0,0,0,0,178ns,n/a,8,4.5ms,4.5ms,4.5ms,4ms,4ms,4.15ms
2025-08-04 12:47:47.706101,metric,20kbps,1.0Mbps,51,1400,600,0,0,0,1,0.00786,0.113,0,0,1,9usec,30usec,647.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,27,21kbps,11,0,0%,3,22,0.014000001,34.6,-3.2,1,27,1.0Mbps,67,1,1%,1080,1.53k,11,0,0,0,0,0,-0.099000014,172ns,n/a,3,4.5ms,4.5ms,4.47ms,4.2ms,4.5ms,4.2ms
2025-08-04 12:47:48.706058,metric,16kbps,1.4Mbps,51,1400,600,0,0,0,2,0.00571,0.15,0,0,1,9usec,40usec,720.4,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,15,1.0,27,17kbps,9,0,0%,0,16,0.014000001,34.7,-3.2,1,27,1.4Mbps,90,0,0%,1486,0,5,0,0,0,0,0,-0.099000014,194ns,n/a,8,4.49ms,4.5ms,4.46ms,4.19ms,4.5ms,4ms
2025-08-04 12:47:49.706139,metric,9.6Mbps,228kbps,51,1400,600,0,0,8,0,0.192,0.0583,0,0,1,10usec,216usec,819.16,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,26,9.6Mbps,256,4,1%,104k,11907,0.008000004,34.1,-3.2,1,27,228kbps,34,1,2%,258,1.04k,23,0,0,0,0,0,-0.19800003,210ns,n/a,5,4.5ms,4.5ms,4.4ms,4.06ms,4.5ms,3.98ms
2025-08-04 12:47:50.706170,metric,58Mbps,564kbps,51,1400,600,0,0,49,0,1,0.135,0,0,1,15usec,50usec,965.16,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4603,1,15,1.0,27,58Mbps,1400,0,0%,384k,69016,0.008000004,34.1,-3.2,1,27,564kbps,81,0,0%,582,198,36,0,0,0,0,0,-0.19800003,219ns,n/a,7,4.46ms,4.5ms,4.2ms,4.01ms,4.5ms,3.95ms
2025-08-04 12:47:51.705999,metric,58Mbps,590kbps,51,1400,600,0,0,49,1,1,0.143,0,0,1,15usec,53usec,1002.4,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4603,1,15,1.0,27,58Mbps,1400,0,0%,811k,68988,0.008000004,34.4,-3.2,1,27,590kbps,86,0,0%,609,0,28,0,0,0,0,0,-0.19800003,226ns,n/a,7,4.47ms,4.5ms,4.22ms,4.02ms,4.5ms,3.96ms
