folder,pw,gain,prf,avg_throughput_mbps,metric_type,dl_brate_mbps
logs_20251130_153646,5.0,80,200,45.50789473684212,,
logs_20251130_153646,5.0,80,200,,dl_brate,0.003
logs_20251130_153646,5.0,80,200,,dl_brate,0.001
logs_20251130_153646,5.0,80,200,,dl_brate,0.015
logs_20251130_153646,5.0,80,200,,dl_brate,0.024
logs_20251130_153646,5.0,80,200,,dl_brate,0.026
logs_20251130_153646,5.0,80,200,,dl_brate,0.024
logs_20251130_153646,5.0,80,200,,dl_brate,0.035
logs_20251130_153646,5.0,80,200,,dl_brate,19.0
logs_20251130_153646,5.0,80,200,,dl_brate,65.1
logs_20251130_153646,5.0,80,200,,dl_brate,65.1
logs_20251130_153646,5.0,80,200,,dl_brate,65.1
logs_20251130_153646,5.0,80,200,,dl_brate,65.2
logs_20251130_153646,5.0,80,200,,dl_brate,65.2
logs_20251130_153646,5.0,80,200,,dl_brate,64.6
logs_20251130_153646,5.0,80,200,,dl_brate,62.9
logs_20251130_153646,5.0,80,200,,dl_brate,62.9
logs_20251130_153646,5.0,80,200,,dl_brate,62.9
logs_20251130_153646,5.0,80,200,,dl_brate,62.8
logs_20251130_153646,5.0,80,200,,dl_brate,62.9
logs_20251130_153646,5.0,80,200,,dl_brate,54.7
logs_20251130_153646,5.0,80,200,,dl_brate,36.1
logs_20251130_153646,5.0,80,200,,dl_brate,33.4
logs_20251130_153646,5.0,80,200,,dl_brate,32.3
logs_20251130_153646,5.0,80,200,,dl_brate,32.5
logs_20251130_153646,5.0,80,200,,dl_brate,32.1
logs_20251130_153646,5.0,80,200,,dl_brate,32.4
logs_20251130_153646,5.0,80,200,,dl_brate,32.6
logs_20251130_153646,5.0,80,200,,dl_brate,32.5
logs_20251130_153646,5.0,80,200,,dl_brate,33.4
logs_20251130_153646,5.0,80,200,,dl_brate,33.1
logs_20251130_153646,5.0,80,200,,dl_brate,32.2
logs_20251130_153646,5.0,80,200,,dl_brate,32.2
logs_20251130_153646,5.0,80,200,,dl_brate,32.4
logs_20251130_153646,5.0,80,200,,dl_brate,32.3
logs_20251130_153646,5.0,80,200,,dl_brate,34.0
logs_20251130_153646,5.0,80,200,,dl_brate,32.2
logs_20251130_153646,5.0,80,200,,dl_brate,32.2
logs_20251130_153646,5.0,80,200,,dl_brate,32.3
logs_20251130_153646,5.0,80,200,,dl_brate,32.5
logs_20251130_153646,5.0,80,200,,dl_brate,38.5
logs_20251130_153646,5.0,80,200,,dl_brate,60.3
logs_20251130_153646,5.0,80,200,,dl_brate,65.2
logs_20251130_153646,5.0,80,200,,dl_brate,65.2
logs_20251130_153646,5.0,80,200,,dl_brate,65.1
logs_20251130_153646,5.0,80,200,,dl_brate,56.4
logs_20251130_153646,5.0,80,200,,dl_brate,0.035
logs_20251130_153809,10.0,80,200,41.672727272727265,,
logs_20251130_153809,10.0,80,200,,dl_brate,0.002
logs_20251130_153809,10.0,80,200,,dl_brate,0.015
logs_20251130_153809,10.0,80,200,,dl_brate,0.032
logs_20251130_153809,10.0,80,200,,dl_brate,0.018
logs_20251130_153809,10.0,80,200,,dl_brate,0.027
logs_20251130_153809,10.0,80,200,,dl_brate,29.8
logs_20251130_153809,10.0,80,200,,dl_brate,64.7
logs_20251130_153809,10.0,80,200,,dl_brate,63.5
logs_20251130_153809,10.0,80,200,,dl_brate,62.8
logs_20251130_153809,10.0,80,200,,dl_brate,62.9
logs_20251130_153809,10.0,80,200,,dl_brate,62.8
logs_20251130_153809,10.0,80,200,,dl_brate,62.9
logs_20251130_153809,10.0,80,200,,dl_brate,54.9
logs_20251130_153809,10.0,80,200,,dl_brate,28.5
logs_20251130_153809,10.0,80,200,,dl_brate,27.0
logs_20251130_153809,10.0,80,200,,dl_brate,30.0
logs_20251130_153809,10.0,80,200,,dl_brate,30.1
logs_20251130_153809,10.0,80,200,,dl_brate,29.7
logs_20251130_153809,10.0,80,200,,dl_brate,30.6
logs_20251130_153809,10.0,80,200,,dl_brate,30.1
logs_20251130_153809,10.0,80,200,,dl_brate,30.7
logs_20251130_153809,10.0,80,200,,dl_brate,30.4
logs_20251130_153809,10.0,80,200,,dl_brate,29.5
logs_20251130_153809,10.0,80,200,,dl_brate,29.9
logs_20251130_153809,10.0,80,200,,dl_brate,28.9
logs_20251130_153809,10.0,80,200,,dl_brate,30.0
logs_20251130_153809,10.0,80,200,,dl_brate,30.1
logs_20251130_153809,10.0,80,200,,dl_brate,29.7
logs_20251130_153809,10.0,80,200,,dl_brate,30.4
logs_20251130_153809,10.0,80,200,,dl_brate,30.3
logs_20251130_153809,10.0,80,200,,dl_brate,31.2
logs_20251130_153809,10.0,80,200,,dl_brate,35.6
logs_20251130_153809,10.0,80,200,,dl_brate,39.2
logs_20251130_153809,10.0,80,200,,dl_brate,60.4
logs_20251130_153809,10.0,80,200,,dl_brate,64.3
logs_20251130_153809,10.0,80,200,,dl_brate,64.8
logs_20251130_153809,10.0,80,200,,dl_brate,64.7
logs_20251130_153809,10.0,80,200,,dl_brate,58.4
logs_20251130_153809,10.0,80,200,,dl_brate,0.035
logs_20251130_153857,15.0,80,200,38.4969696969697,,
logs_20251130_153857,15.0,80,200,,dl_brate,0.002
logs_20251130_153857,15.0,80,200,,dl_brate,0.012
logs_20251130_153857,15.0,80,200,,dl_brate,0.027
logs_20251130_153857,15.0,80,200,,dl_brate,0.02
logs_20251130_153857,15.0,80,200,,dl_brate,0.027
logs_20251130_153857,15.0,80,200,,dl_brate,33.6
logs_20251130_153857,15.0,80,200,,dl_brate,64.5
logs_20251130_153857,15.0,80,200,,dl_brate,63.7
logs_20251130_153857,15.0,80,200,,dl_brate,62.9
logs_20251130_153857,15.0,80,200,,dl_brate,62.8
