run,timestamp,slot,ack_0,ack_2,total_acks
run1,20260123_145506,0,0,0,0
run1,20260123_145506,1,0,0,0
run1,20260123_145506,2,0,0,0
run1,20260123_145506,3,0,0,0
run1,20260123_145506,4,0,0,0
run1,20260123_145506,5,1,0,1
run1,20260123_145506,6,1,0,1
run1,20260123_145506,7,0,0,0
run1,20260123_145506,8,0,0,0
run1,20260123_145506,9,0,0,0
run1,20260123_145506,10,0,0,0
run1,20260123_145506,11,0,0,0
run1,20260123_145506,12,0,0,0
run1,20260123_145506,13,0,0,0
run1,20260123_145506,14,0,0,0
run1,20260123_145506,15,0,0,0
run1,20260123_145506,16,0,0,0
run1,20260123_145506,17,0,0,0
run1,20260123_145506,18,0,0,0
run1,20260123_145506,19,0,0,0
run1,20260123_145505,0,0,0,0
run1,20260123_145505,1,0,0,0
run1,20260123_145505,2,0,0,0
run1,20260123_145505,3,0,0,0
run1,20260123_145505,4,0,0,0
run1,20260123_145505,5,1,0,1
run1,20260123_145505,6,1,0,1
run1,20260123_145505,7,0,0,0
run1,20260123_145505,8,0,0,0
run1,20260123_145505,9,0,0,0
run1,20260123_145505,10,0,0,0
run1,20260123_145505,11,0,0,0
run1,20260123_145505,12,0,0,0
run1,20260123_145505,13,0,0,0
run1,20260123_145505,14,0,0,0
run1,20260123_145505,15,0,0,0
run1,20260123_145505,16,0,0,0
run1,20260123_145505,17,0,0,0
run1,20260123_145505,18,0,0,0
run1,20260123_145505,19,0,0,0
run10,20260123_150238,0,1,0,1
run10,20260123_150238,1,4,0,4
run10,20260123_150238,2,21,0,21
run10,20260123_150238,3,6,0,6
run10,20260123_150238,4,0,0,0
run10,20260123_150238,5,8,0,8
run10,20260123_150238,6,1,0,1
run10,20260123_150238,7,549,0,549
run10,20260123_150238,8,0,0,0
run10,20260123_150238,9,0,0,0
run10,20260123_150238,10,1452,0,1452
run10,20260123_150238,11,0,0,0
run10,20260123_150238,12,2,0,2
run10,20260123_150238,13,0,0,0
run10,20260123_150238,14,3,0,3
run10,20260123_150238,15,0,0,0
run10,20260123_150238,16,2,0,2
run10,20260123_150238,17,0,0,0
run10,20260123_150238,18,0,0,0
run10,20260123_150238,19,0,0,0
run100,20260123_161607,0,0,0,0
run100,20260123_161607,1,0,0,0
run100,20260123_161607,2,2,0,2
run100,20260123_161607,3,1,0,1
run100,20260123_161607,4,1,0,1
run100,20260123_161607,5,0,0,0
run100,20260123_161607,6,2,0,2
run100,20260123_161607,7,1,0,1
run100,20260123_161607,8,0,0,0
run100,20260123_161607,9,0,0,0
run100,20260123_161607,10,1,0,1
run100,20260123_161607,11,3,0,3
run100,20260123_161607,12,2001,0,2001
run100,20260123_161607,13,0,0,0
run100,20260123_161607,14,1,0,1
run100,20260123_161607,15,3,0,3
run100,20260123_161607,16,0,0,0
run100,20260123_161607,17,0,0,0
run100,20260123_161607,18,0,0,0
run100,20260123_161607,19,0,0,0
run1000,20260124_043410,0,2,0,2
run1000,20260124_043410,1,4,0,4
run1000,20260124_043410,2,3,0,3
run1000,20260124_043410,3,0,0,0
run1000,20260124_043410,4,1,0,1
run1000,20260124_043410,5,1,0,1
run1000,20260124_043410,6,1,1,2
run1000,20260124_043410,7,0,1,1
run1000,20260124_043410,8,0,0,0
run1000,20260124_043410,9,0,0,0
run1000,20260124_043410,10,3,1,4
run1000,20260124_043410,11,1998,1,1999
run1000,20260124_043410,12,0,1,1
run1000,20260124_043410,13,1,1,2
run1000,20260124_043410,14,0,1,1
run1000,20260124_043410,15,0,0,0
run1000,20260124_043410,16,1,0,1
run1000,20260124_043410,17,0,0,0
run1000,20260124_043410,18,0,0,0
run1000,20260124_043410,19,0,0,0
run101,20260123_161655,0,1,0,1
run101,20260123_161655,1,2000,0,2000
run101,20260123_161655,2,2,0,2
run101,20260123_161655,3,0,0,0
run101,20260123_161655,4,2,0,2
run101,20260123_161655,5,3,0,3
run101,20260123_161655,6,0,0,0
run101,20260123_161655,7,1,0,1
run101,20260123_161655,8,0,0,0
run101,20260123_161655,9,0,0,0
run101,20260123_161655,10,1,0,1
run101,20260123_161655,11,0,0,0
run101,20260123_161655,12,2,0,2
run101,20260123_161655,13,1,0,1
run101,20260123_161655,14,3,0,3
run101,20260123_161655,15,1,0,1
run101,20260123_161655,16,1,0,1
run101,20260123_161655,17,0,0,0
run101,20260123_161655,18,0,0,0
run101,20260123_161655,19,0,0,0
run102,20260123_161743,0,1946,17,1963
run102,20260123_161743,1,6,21,27
run102,20260123_161743,2,9,20,29
run102,20260123_161743,3,7,20,27
run102,20260123_161743,4,8,20,28
run102,20260123_161743,5,14,11,25
run102,20260123_161743,6,5,19,24
run102,20260123_161743,7,7,14,21
run102,20260123_161743,8,0,0,0
run102,20260123_161743,9,0,0,0
run102,20260123_161743,10,19,19,38
run102,20260123_161743,11,7,20,27
run102,20260123_161743,12,6,20,26
run102,20260123_161743,13,6,20,26
run102,20260123_161743,14,8,19,27
run102,20260123_161743,15,9,11,20
run102,20260123_161743,16,6,17,23
run102,20260123_161743,17,7,3,10
run102,20260123_161743,18,0,0,0
run102,20260123_161743,19,0,0,0
run103,20260123_161831,0,2,0,2
run103,20260123_161831,1,2,0,2
run103,20260123_161831,2,2,0,2
run103,20260123_161831,3,1,0,1
run103,20260123_161831,4,0,0,0
run103,20260123_161831,5,1032,0,1032
run103,20260123_161831,6,828,0,828
run103,20260123_161831,7,0,0,0
run103,20260123_161831,8,0,0,0
run103,20260123_161831,9,0,0,0
run103,20260123_161831,10,0,0,0
run103,20260123_161831,11,0,0,0
run103,20260123_161831,12,1,0,1
run103,20260123_161831,13,2,0,2
run103,20260123_161831,14,1,0,1
run103,20260123_161831,15,0,0,0
run103,20260123_161831,16,0,0,0
run103,20260123_161831,17,0,0,0
run103,20260123_161831,18,0,0,0
run103,20260123_161831,19,0,0,0
run104,20260123_161923,0,2,0,2
run104,20260123_161923,1,1,0,1
run104,20260123_161923,2,3,0,3
run104,20260123_161923,3,1,0,1
run104,20260123_161923,4,3,0,3
run104,20260123_161923,5,1,0,1
run104,20260123_161923,6,0,0,0
run104,20260123_161923,7,0,0,0
run104,20260123_161923,8,0,0,0
run104,20260123_161923,9,0,0,0
run104,20260123_161923,10,0,0,0
run104,20260123_161923,11,1,0,1
run104,20260123_161923,12,770,0,770
run104,20260123_161923,13,1,0,1
run104,20260123_161923,14,523,0,523
run104,20260123_161923,15,510,0,510
run104,20260123_161923,16,181,0,181
